ID_Registro,Pais_Origen,Altitud_km,Duracion_Vuelo_h,Velocidad_Viento_kmh,Tecnologia_Detectada,Cercania_Base_Militar_km,Fecha_Avistamiento,Indice_Maniobra
REG-1089,Corea del Norte,24.57,39.0,96.2,Inteligencia de Señales,50.65,2023-01-19,42.45
REG-1090,Desconocido,,25.4,71.0,,20.82,2023-02-15,51.15
REG-1091,Desconocido,26.84,32.6,10.6,,3.72,2023-01-11,84.5
REG-1092,Rusia,18.49,107.0,93.7,Meteorológico,26.35,2023-02-19,26.11
REG-1093,China,20.36,92.4,13.9,Meteorológico,18.64,2023-01-26,95.5
REG-1094,China,20.04,4.0,92.0,Inteligencia de Señales,56.52,2023-01-06,39.78
REG-1095,Corea del Norte,14.68,10.3,32.3,Meteorológico,46.54,2023-02-25,91.41
REG-1096,China,23.48,20.4,115.4,,22.67,2023-01-10,25.72
REG-1097,China,23.31,76.6,50.5,Imagen Óptica,12.29,2023-02-02,49.62
REG-1098,Corea del Norte,22.03,93.7,46.0,Vigilancia Radar,221.29,2023-01-12,78.32
REG-1099,EE.UU.,20.83,66.8,26.4,Imagen Óptica,30.26,2023-01-01,71.54
REG-1100,China,14.92,14.2,43.6,Meteorológico,58.28,2023-01-18,65.64
REG-1101,Rusia,,25.8,106.4,Vigilancia Radar,7.57,2023-02-02,28.02
REG-1102,EE.UU.,20.29,57.2,119.6,Inteligencia de Señales,33.24,2023-01-22,36.24
REG-1103,China,17.99,33.0,50.5,Vigilancia Radar,1.4,2023-01-28,95.75
REG-1104,China,21.19,29.5,59.3,Vigilancia Radar,35.21,2023-02-14,64.56
REG-1105,Corea del Norte,24.02,29.8,89.4,Meteorológico,166.24,2023-01-24,35.59
REG-1106,Rusia,31.43,87.7,107.5,Meteorológico,24.24,2023-02-23,30.1
REG-1107,Corea del Norte,22.87,61.3,75.2,Imagen Óptica,1.99,2023-01-18,56.24
REG-1108,Corea del Norte,23.29,31.2,53.1,Vigilancia Radar,1.57,2023-01-22,59.62
REG-1109,Corea del Norte,,51.0,55.4,Inteligencia de Señales,24.55,2023-01-16,79.17
REG-1110,Corea del Norte,12.41,12.4,86.5,Vigilancia Radar,8.72,2023-01-15,41.75
REG-1111,China,21.87,25.9,10.4,Imagen Óptica,1.18,2023-01-31,97.7
REG-1112,China,22.3,82.1,78.2,Vigilancia Radar,70.57,2023-02-03,51.92
REG-1113,Rusia,,8.6,49.1,Vigilancia Radar,30.67,2023-01-04,69.85
REG-1114,China,,61.9,97.4,Inteligencia de Señales,17.07,2023-01-27,40.21
REG-1115,EE.UU.,23.51,4.0,20.2,Imagen Óptica,115.17,2023-02-20,79.69
REG-1116,Corea del Norte,21.83,118.9,74.7,Imagen Óptica,6.17,2023-02-08,42.13
REG-1117,Rusia,16.16,25.4,62.9,Meteorológico,156.09,2023-02-09,44.97
REG-1118,Corea del Norte,27.71,53.7,80.7,Inteligencia de Señales,18.84,2023-01-17,47.91
REG-1119,Desconocido,25.76,43.6,17.1,Vigilancia Radar,109.64,2023-02-02,95.82
REG-1120,Rusia,25.96,44.8,73.8,Inteligencia de Señales,46.18,2023-02-17,52.92
REG-1121,Corea del Norte,17.45,50.3,71.8,,87.64,2023-02-25,66.48
REG-1122,Corea del Norte,29.01,7.0,71.7,Imagen Óptica,206.8,2023-02-02,49.75
REG-1123,Corea del Norte,14.99,45.5,76.4,,17.01,2023-01-21,53.21
REG-1124,Desconocido,24.93,34.6,84.4,Inteligencia de Señales,162.38,2023-01-05,30.0
REG-1125,Corea del Norte,32.95,25.5,98.5,Inteligencia de Señales,24.67,2023-02-08,27.18
REG-1126,EE.UU.,17.05,20.4,39.7,Imagen Óptica,24.35,2023-01-29,79.17
REG-1127,Rusia,19.17,46.4,100.8,Inteligencia de Señales,20.81,2023-01-25,37.93
REG-1128,Rusia,22.5,16.7,64.8,Imagen Óptica,38.98,2023-02-26,51.7
REG-1129,Corea del Norte,19.48,81.1,18.5,Vigilancia Radar,8.37,2023-01-31,86.33
REG-1130,China,14.25,56.5,16.4,Vigilancia Radar,40.34,2023-02-02,73.34
REG-1131,Desconocido,22.34,48.5,46.8,Meteorológico,39.01,2023-01-05,63.67
REG-1132,EE.UU.,16.69,78.8,96.3,Meteorológico,71.75,2023-03-01,41.49
REG-1133,Desconocido,24.37,5.8,87.8,Vigilancia Radar,89.68,2023-02-05,44.29
REG-1134,Rusia,17.4,12.0,96.7,Imagen Óptica,29.03,2023-01-21,37.32
REG-1135,Desconocido,29.75,58.3,66.9,Vigilancia Radar,18.0,2023-02-20,53.67
REG-1136,China,18.08,21.5,58.4,Meteorológico,15.01,2023-01-25,59.19
REG-1137,Desconocido,20.39,23.9,26.2,Vigilancia Radar,10.82,2023-02-27,75.06
REG-1138,Desconocido,26.07,10.3,46.1,Imagen Óptica,2.97,2023-01-09,74.72
REG-1139,China,,16.7,57.7,Meteorológico,20.96,2023-02-21,63.82
REG-1140,China,23.14,82.3,19.7,Inteligencia de Señales,15.75,2023-03-01,91.13
REG-1141,China,28.54,57.3,34.3,Imagen Óptica,169.69,2023-02-16,70.73
REG-1142,Corea del Norte,13.96,46.0,75.8,Vigilancia Radar,40.79,2023-02-01,25.41
REG-1143,Corea del Norte,22.92,24.7,90.9,Imagen Óptica,21.33,2023-02-21,47.34
REG-1144,China,23.3,43.9,119.8,Inteligencia de Señales,43.43,2023-02-07,11.35
REG-1145,EE.UU.,25.91,87.2,112.6,Inteligencia de Señales,7.49,2023-01-19,12.55
REG-1146,Rusia,15.82,21.9,80.7,,29.35,2023-01-23,50.44
REG-1147,Rusia,15.4,38.9,56.3,Imagen Óptica,49.21,2023-02-26,56.67
REG-1148,Rusia,24.61,123.8,80.0,Vigilancia Radar,33.56,2023-01-04,54.6
REG-1149,Desconocido,23.48,66.2,96.4,Imagen Óptica,25.69,2023-01-15,38.69
REG-1150,Rusia,23.25,25.0,23.0,Meteorológico,254.55,2023-02-09,90.74
REG-1151,Desconocido,23.73,62.5,55.1,Imagen Óptica,106.14,2023-02-03,47.77
REG-1152,China,18.6,8.4,102.4,Inteligencia de Señales,48.83,2023-01-21,40.44
REG-1153,China,23.16,37.7,52.2,Inteligencia de Señales,42.13,2023-02-03,66.07
REG-1154,Desconocido,23.47,62.5,72.9,Vigilancia Radar,48.47,2023-02-16,45.28
REG-1155,China,18.43,53.0,74.7,Meteorológico,11.24,2023-01-18,49.14
REG-1156,Rusia,31.33,62.1,30.3,Imagen Óptica,25.14,2023-01-10,61.03
REG-1157,Rusia,24.37,71.8,49.8,Imagen Óptica,2.01,2023-01-27,69.23
REG-1158,Desconocido,16.04,56.0,46.8,Inteligencia de Señales,32.27,2023-01-14,56.95
REG-1159,China,25.28,54.8,12.9,Meteorológico,39.16,2023-02-07,77.44
REG-1160,Desconocido,17.13,46.8,12.7,Inteligencia de Señales,12.92,2023-02-06,75.89
REG-1161,China,25.94,15.0,101.5,Vigilancia Radar,166.25,2023-01-28,40.08
REG-1162,EE.UU.,27.79,82.3,40.0,,120.1,2023-01-15,65.71
REG-1163,China,17.9,38.8,67.0,Imagen Óptica,64.03,2023-02-09,68.44
REG-1164,Desconocido,26.82,65.0,42.9,Meteorológico,38.11,2023-02-26,64.61
REG-1165,Desconocido,24.06,76.7,113.5,Meteorológico,102.0,2023-01-01,3.48
REG-1166,EE.UU.,26.11,26.0,38.5,Vigilancia Radar,7.0,2023-02-12,61.88
REG-1167,Desconocido,31.48,28.0,57.3,Imagen Óptica,78.15,2023-02-01,72.25
REG-1168,Rusia,20.77,31.2,106.0,Inteligencia de Señales,6.67,2023-01-24,24.24
REG-1169,EE.UU.,,92.9,102.6,Meteorológico,79.05,2023-02-21,22.7
REG-1170,China,17.55,18.2,30.5,Meteorológico,16.13,2023-02-01,80.25
REG-1171,Corea del Norte,17.92,103.7,98.3,Meteorológico,104.82,2023-02-21,36.21
REG-1172,EE.UU.,21.61,46.4,60.4,,144.16,2023-02-16,68.89
REG-1173,China,23.71,48.9,63.1,Imagen Óptica,8.06,2023-02-20,70.31
REG-1174,EE.UU.,23.38,74.4,24.7,Imagen Óptica,31.06,2023-01-04,79.11
REG-1175,Corea del Norte,26.14,42.6,18.9,Imagen Óptica,198.13,2023-03-01,73.51
REG-1176,Desconocido,22.07,82.9,90.1,Vigilancia Radar,33.03,2023-02-03,32.8
REG-1177,Corea del Norte,29.27,26.0,64.6,Vigilancia Radar,99.59,2023-02-19,57.38
REG-1178,Corea del Norte,,101.5,58.1,Imagen Óptica,44.43,2023-02-20,49.69
REG-1179,Corea del Norte,35.6,27.7,90.2,Meteorológico,23.53,2023-02-18,27.29
REG-1180,China,25.13,104.0,94.2,Inteligencia de Señales,16.83,2023-02-20,37.5
REG-1181,Rusia,17.71,28.3,27.5,Inteligencia de Señales,11.36,2023-02-10,80.26
REG-1182,EE.UU.,,31.9,77.1,Vigilancia Radar,71.73,2023-02-23,46.36
REG-1183,China,24.41,16.3,24.9,Meteorológico,24.43,2023-02-02,74.99
REG-1184,China,20.88,20.6,92.7,Meteorológico,35.8,2023-02-02,32.81
REG-1185,Desconocido,25.57,38.9,82.3,Meteorológico,33.9,2023-02-25,33.15
REG-1186,China,24.37,47.7,115.2,Inteligencia de Señales,43.05,2023-02-09,28.26
REG-1187,Rusia,21.64,78.9,17.6,Imagen Óptica,100.34,2023-01-29,98.03
REG-1188,China,,33.7,16.3,Imagen Óptica,197.48,2023-01-09,70.13
REG-1189,Corea del Norte,14.43,53.1,41.0,Vigilancia Radar,26.18,2023-01-19,62.0
REG-1190,Corea del Norte,19.77,45.4,38.8,Inteligencia de Señales,87.87,2023-01-28,57.87
REG-1191,Desconocido,26.28,57.3,37.2,Inteligencia de Señales,72.31,2023-02-21,67.46
REG-1192,China,23.07,23.3,109.7,Inteligencia de Señales,42.61,2023-01-14,22.38
REG-1193,China,15.77,25.7,37.5,Meteorológico,156.23,2023-02-23,59.25
REG-1194,Rusia,22.87,23.3,39.9,Imagen Óptica,11.19,2023-01-31,62.85
REG-1195,China,23.93,89.3,93.5,Imagen Óptica,5.79,2023-01-06,24.51
REG-1196,Corea del Norte,17.58,102.1,59.5,Meteorológico,96.19,2023-01-12,60.42
REG-1197,Rusia,22.77,24.8,95.4,Vigilancia Radar,28.92,2023-02-20,33.91
REG-1198,EE.UU.,,25.2,17.2,Vigilancia Radar,93.86,2023-01-06,80.74
REG-1199,China,16.29,63.0,63.6,Meteorológico,111.79,2023-01-22,57.25
REG-1200,EE.UU.,23.79,109.7,13.7,Imagen Óptica,3.22,2023-01-29,84.94
REG-1201,Corea del Norte,24.8,125.4,16.9,Imagen Óptica,107.48,2023-02-27,85.45
REG-1202,EE.UU.,27.42,23.9,109.7,Vigilancia Radar,29.74,2023-01-05,39.94
REG-1203,Desconocido,,29.1,25.3,Meteorológico,35.71,2023-02-02,95.69
REG-1204,Corea del Norte,15.11,49.5,68.6,Inteligencia de Señales,49.25,2023-01-19,38.98
REG-1205,Rusia,17.31,51.3,55.2,Inteligencia de Señales,130.44,2023-01-27,69.66
REG-1206,Corea del Norte,,34.8,48.2,Inteligencia de Señales,0.97,2023-01-18,74.37
REG-1207,EE.UU.,24.57,20.0,109.0,Inteligencia de Señales,32.39,2023-01-17,12.22
REG-1208,China,24.58,39.0,12.4,Vigilancia Radar,58.19,2023-01-03,99.51
REG-1209,Corea del Norte,,125.3,83.0,Inteligencia de Señales,64.13,2023-02-21,57.28
REG-1210,EE.UU.,24.85,26.0,116.0,Inteligencia de Señales,58.97,2023-02-19,7.57
REG-1211,China,27.68,47.3,71.6,Imagen Óptica,7.22,2023-01-28,40.7
REG-1212,EE.UU.,,180.5,113.1,Imagen Óptica,17.79,2023-01-16,31.01
REG-1213,Desconocido,25.26,25.7,15.7,Meteorológico,22.21,2023-01-31,91.72
REG-1214,China,20.42,65.1,56.1,Vigilancia Radar,81.59,2023-01-09,66.24
REG-1215,Desconocido,25.79,128.8,38.6,Imagen Óptica,16.34,2023-01-20,76.39
REG-1216,EE.UU.,18.14,61.2,90.4,Meteorológico,11.83,2023-02-14,40.63
REG-1217,Desconocido,20.82,85.1,117.9,Imagen Óptica,157.85,2023-02-01,4.21
REG-1218,Desconocido,19.57,71.2,38.2,Vigilancia Radar,0.45,2023-02-04,83.73
REG-1219,EE.UU.,22.41,57.9,82.0,Vigilancia Radar,306.44,2023-01-13,54.3
REG-1220,Corea del Norte,33.57,99.9,31.8,Inteligencia de Señales,56.48,2023-01-28,75.45
REG-1221,Corea del Norte,12.66,63.7,72.2,Imagen Óptica,88.15,2023-02-18,49.03
REG-1222,EE.UU.,25.43,35.0,61.0,Meteorológico,17.45,2023-01-02,41.99
REG-1223,Corea del Norte,13.94,44.7,116.9,Inteligencia de Señales,0.72,2023-01-28,23.31
REG-1224,EE.UU.,19.64,52.5,76.9,Inteligencia de Señales,66.95,2023-02-10,51.89
REG-1225,EE.UU.,27.44,29.0,48.4,Inteligencia de Señales,89.83,2023-02-27,65.5
REG-1226,Corea del Norte,22.32,46.2,22.6,Imagen Óptica,67.45,2023-02-11,95.42
REG-1227,China,16.61,41.5,26.6,Meteorológico,7.71,2023-02-28,78.04
REG-1228,China,18.42,63.5,34.8,Inteligencia de Señales,70.01,2023-01-29,81.29
REG-1229,Desconocido,25.4,151.4,37.6,Imagen Óptica,73.25,2023-02-15,63.48
REG-1230,Desconocido,18.35,48.2,103.6,Vigilancia Radar,53.73,2023-01-03,27.24
REG-1231,Rusia,23.08,111.5,71.7,Imagen Óptica,72.65,2023-01-23,48.07
REG-1232,Rusia,22.23,61.9,67.6,Vigilancia Radar,93.51,2023-01-29,54.93
REG-1233,China,18.74,46.1,22.6,Inteligencia de Señales,47.54,2023-01-15,80.48
REG-1234,Desconocido,32.72,27.7,104.6,Inteligencia de Señales,4.64,2023-02-02,25.47
REG-1235,China,25.17,46.3,89.5,Meteorológico,33.44,2023-02-15,45.61
REG-1236,Rusia,11.87,44.3,17.4,Imagen Óptica,4.04,2023-01-19,83.45
REG-1237,EE.UU.,22.93,22.0,87.9,Meteorológico,26.17,2023-02-09,22.4
REG-1238,Rusia,18.69,25.1,69.8,Inteligencia de Señales,26.14,2023-02-12,68.64
REG-1239,Corea del Norte,26.26,52.9,19.0,,3.41,2023-01-27,100.51
REG-1240,Corea del Norte,18.04,110.8,60.4,Meteorológico,21.45,2023-01-04,44.8
REG-1241,EE.UU.,21.43,38.0,63.3,Vigilancia Radar,5.88,2023-01-27,62.59
REG-1242,EE.UU.,24.52,9.8,28.2,,82.57,2023-01-21,75.23
REG-1243,EE.UU.,26.33,16.0,114.0,Inteligencia de Señales,147.53,2023-01-08,22.83
REG-1244,Rusia,16.0,66.2,103.5,,3.75,2023-02-20,30.49
REG-1245,EE.UU.,20.33,12.0,83.6,Inteligencia de Señales,155.18,2023-01-15,39.14
REG-1246,EE.UU.,19.63,73.6,60.9,Vigilancia Radar,36.97,2023-01-03,49.53
REG-1247,Corea del Norte,18.73,63.7,55.3,Imagen Óptica,17.8,2023-02-28,54.38
REG-1248,Rusia,30.83,37.0,81.6,Imagen Óptica,4.0,2023-02-12,33.72
REG-1249,Corea del Norte,24.02,22.2,70.0,Imagen Óptica,34.72,2023-01-20,42.68
REG-1250,Desconocido,15.7,33.0,16.9,Inteligencia de Señales,79.12,2023-02-14,87.5
REG-1251,Desconocido,26.59,51.9,66.4,Imagen Óptica,61.39,2023-02-27,46.36
REG-1252,Rusia,32.61,12.4,98.7,Vigilancia Radar,2.58,2023-02-12,37.73
REG-1253,Corea del Norte,27.16,103.5,60.5,Imagen Óptica,3.78,2023-02-18,72.52
REG-1254,Rusia,14.4,51.6,15.7,Imagen Óptica,25.78,2023-02-19,83.21
REG-1255,Corea del Norte,19.58,55.9,96.5,Vigilancia Radar,17.5,2023-01-10,34.84
REG-1256,Rusia,28.33,63.4,32.2,Vigilancia Radar,13.22,2023-01-20,82.46
REG-1257,Rusia,18.46,96.9,38.4,Vigilancia Radar,16.5,2023-01-20,77.84
REG-1258,EE.UU.,24.22,46.4,28.1,,81.35,2023-01-31,81.09
REG-1259,China,25.87,66.2,46.3,Imagen Óptica,132.41,2023-01-16,75.02
REG-1260,EE.UU.,17.37,22.5,93.2,Inteligencia de Señales,25.97,2023-01-19,39.58
REG-1261,Rusia,21.7,125.8,67.1,Inteligencia de Señales,118.28,2023-02-07,40.65
REG-1262,Rusia,5.79,44.1,32.5,Inteligencia de Señales,19.39,2023-02-28,85.94
REG-1263,EE.UU.,16.88,22.4,106.6,Imagen Óptica,32.35,2023-01-08,34.25
REG-1264,China,20.74,27.7,106.8,Vigilancia Radar,12.81,2023-01-04,17.61
REG-1265,Rusia,15.76,5.4,105.8,Meteorológico,51.15,2023-02-15,26.32
REG-1266,Corea del Norte,30.16,27.6,36.3,Meteorológico,193.12,2023-02-08,81.42
REG-1267,Desconocido,14.85,2.1,59.6,Imagen Óptica,46.25,2023-01-24,56.19
REG-1268,China,19.8,69.6,118.3,,22.14,2023-01-02,27.92
REG-1269,China,22.65,54.7,94.9,Meteorológico,52.18,2023-02-13,57.21
REG-1270,China,29.21,16.9,13.0,Vigilancia Radar,6.56,2023-02-09,83.04
REG-1271,China,14.82,38.5,17.2,,109.76,2023-01-04,74.15
REG-1272,Desconocido,27.82,39.9,61.0,Imagen Óptica,34.97,2023-02-19,60.34
REG-1273,Corea del Norte,22.05,13.8,110.0,Inteligencia de Señales,29.83,2023-01-08,30.22
REG-1274,Corea del Norte,17.09,33.5,69.3,Meteorológico,44.08,2023-01-21,49.18
REG-1275,Rusia,24.31,40.8,64.8,Meteorológico,49.01,2023-01-24,69.17
REG-1276,Corea del Norte,23.0,32.8,21.6,Imagen Óptica,3.72,2023-03-01,71.49
REG-1277,Corea del Norte,19.0,22.4,82.2,Imagen Óptica,57.38,2023-03-01,49.39
REG-1278,China,22.35,16.3,100.4,Vigilancia Radar,13.85,2023-01-26,23.66
REG-1279,EE.UU.,20.07,31.9,51.8,Meteorológico,62.58,2023-01-21,80.93
REG-1280,Rusia,,24.8,95.3,Inteligencia de Señales,86.45,2023-02-12,53.22
REG-1281,EE.UU.,25.31,60.5,116.1,Vigilancia Radar,81.47,2023-02-20,11.06
REG-1282,Desconocido,29.93,100.9,32.4,Meteorológico,40.2,2023-01-31,71.82
REG-1283,Corea del Norte,15.81,76.0,67.6,,36.72,2023-01-26,61.28
REG-1284,China,32.67,41.9,41.6,Inteligencia de Señales,7.71,2023-01-21,67.01
REG-1285,Rusia,12.24,23.1,97.2,Imagen Óptica,74.66,2023-01-06,31.51
REG-1286,EE.UU.,21.24,74.6,73.5,Inteligencia de Señales,15.83,2023-01-16,48.8
REG-1287,China,24.94,63.1,79.8,Vigilancia Radar,34.33,2023-01-07,24.94
REG-1288,Desconocido,23.4,96.3,97.8,Inteligencia de Señales,16.72,2023-02-01,31.4
REG-1289,Rusia,18.89,46.4,53.6,Inteligencia de Señales,7.18,2023-01-05,55.58
REG-1290,Rusia,20.96,121.5,110.7,Vigilancia Radar,49.65,2023-01-03,17.58
REG-1291,Rusia,19.53,46.5,68.6,Vigilancia Radar,2.79,2023-02-08,66.42
REG-1292,China,,23.0,27.4,Vigilancia Radar,69.04,2023-01-13,68.25
