Season,Difficulty_Level,Map_Name,Team_Name,Team_Code,Points_Scored,Enemies_Defeated,Missions_Completed
2025,Intermedio,Zona Volcánica,Nómadas,NOM,1469,432,107
2022,Intermedio,Bosque Verde,Nómadas,NOM,1860,943,107
2022,Intermedio,Desierto Rojo,Guardianes,GUA,2066,179,114
2024,Básico,Desierto Rojo,Titán,TIT,1932,725,110
2022,Básico,Bosque Verde,Forjadores,FOR,2132,772,40
2021,Intermedio,Ciudad Oscura,Pioneros,PIO,2696,778,8
2021,Intermedio,Desierto Rojo,Sombras,SOM,656,322,81
2024,Intermedio,Ciudad Oscura,Pioneros,PIO,2983,1147,19
2024,Avanzado,Desierto Rojo,Sombras,SOM,681,993,5
2025,Avanzado,Desierto Rojo,Vigías,VIG,2266,243,90
2023,Avanzado,Ciudad Oscura,Guardianes,GUA,1730,1138,44
2024,Intermedio,Isla Helada,Sombras,SOM,2770,360,29
2024,Avanzado,Isla Helada,Nómadas,NOM,2831,716,56
2025,Básico,Ciudad Oscura,Sombras,SOM,1360,980,105
2025,Avanzado,Ciudad Oscura,Titán,TIT,2309,1005,91
2022,Avanzado,Isla Helada,Nómadas,NOM,847,681,70
2025,Intermedio,Bosque Verde,Forjadores,FOR,1771,560,108
2022,Básico,Bosque Verde,Exploradores,EXP,1502,1073,83
2021,Intermedio,Isla Helada,Forjadores,FOR,2072,1112,56
2022,Básico,Bosque Verde,Guardianes,GUA,2241,548,27
2025,Intermedio,Bosque Verde,Forjadores,FOR,997,1034,22
2024,Avanzado,Zona Volcánica,Vigías,VIG,2312,1354,109
2025,Intermedio,Zona Volcánica,Titán,TIT,1151,1072,62
2023,Básico,Ciudad Oscura,Titán,TIT,1479,662,61
2021,Avanzado,Ciudad Oscura,Forjadores,FOR,1612,787,45
2025,Básico,Desierto Rojo,Nómadas,NOM,1447,884,93
2022,Avanzado,Desierto Rojo,Guardianes,GUA,2199,934,47
2025,Intermedio,Isla Helada,Exploradores,EXP,1347,960,54
2025,Avanzado,Bosque Verde,Pioneros,PIO,2453,112,50
2023,Intermedio,Isla Helada,Forjadores,FOR,2499,549,39
2024,Intermedio,Bosque Verde,Pioneros,PIO,1876,1469,91
2024,Avanzado,Desierto Rojo,Titán,TIT,1022,1374,73
2021,Intermedio,Zona Volcánica,Exploradores,EXP,843,1416,59
2022,Intermedio,Desierto Rojo,Exploradores,EXP,1565,876,46
2022,Intermedio,Ciudad Oscura,Vigías,VIG,2052,669,101
2024,Intermedio,Bosque Verde,Titán,TIT,579,1204,11
2023,Básico,Bosque Verde,Exploradores,EXP,627,606,30
2021,Avanzado,Desierto Rojo,Forjadores,FOR,1017,1069,90
2021,Avanzado,Desierto Rojo,Titán,TIT,1549,855,26
2025,Avanzado,Bosque Verde,Nómadas,NOM,1774,321,79
2021,Intermedio,Zona Volcánica,Pioneros,PIO,2124,506,14
2025,Avanzado,Desierto Rojo,Guardianes,GUA,1735,1329,108
2021,Avanzado,Bosque Verde,Vigías,VIG,2682,977,89
2023,Básico,Zona Volcánica,Vigías,VIG,551,960,110
2024,Básico,Isla Helada,Vigías,VIG,2383,413,60
2022,Avanzado,Zona Volcánica,Sombras,SOM,2704,1090,64
2024,Avanzado,Zona Volcánica,Sombras,SOM,1820,602,111
2021,Intermedio,Isla Helada,Forjadores,FOR,2403,1267,83
2024,Intermedio,Bosque Verde,Titán,TIT,1831,472,67
2022,Intermedio,Ciudad Oscura,Vigías,VIG,1645,1320,94
2023,Avanzado,Bosque Verde,Forjadores,FOR,850,594,97
2024,Intermedio,Zona Volcánica,Forjadores,FOR,2450,1422,96
2024,Intermedio,Bosque Verde,Guardianes,GUA,1705,553,56
2022,Intermedio,Zona Volcánica,Vigías,VIG,2438,1233,72
2023,Intermedio,Zona Volcánica,Vigías,VIG,1941,1029,39
2023,Intermedio,Desierto Rojo,Guardianes,GUA,1288,746,20
2025,Avanzado,Desierto Rojo,Forjadores,FOR,1386,1091,40
2025,Avanzado,Zona Volcánica,Sombras,SOM,911,497,42
2022,Intermedio,Desierto Rojo,Sombras,SOM,557,1193,21
2023,Básico,Bosque Verde,Sombras,SOM,1017,1406,116
2024,Básico,Bosque Verde,Sombras,SOM,2422,1080,61
2023,Básico,Bosque Verde,Sombras,SOM,2456,333,110
2021,Intermedio,Isla Helada,Guardianes,GUA,2863,1389,92
2021,Básico,Desierto Rojo,Sombras,SOM,848,608,20
2025,Intermedio,Zona Volcánica,Forjadores,FOR,2640,879,62
2024,Intermedio,Zona Volcánica,Pioneros,PIO,1750,1264,84
2021,Avanzado,Bosque Verde,Forjadores,FOR,1364,641,89
2021,Básico,Desierto Rojo,Nómadas,NOM,2760,253,25
2021,Intermedio,Isla Helada,Titán,TIT,1692,166,34
2023,Avanzado,Ciudad Oscura,Titán,TIT,791,578,38
2025,Avanzado,Desierto Rojo,Pioneros,PIO,970,1215,33
2022,Intermedio,Desierto Rojo,Guardianes,GUA,744,439,106
2023,Avanzado,Zona Volcánica,Sombras,SOM,2298,354,64
2023,Avanzado,Isla Helada,Sombras,SOM,2549,1205,68
2024,Básico,Zona Volcánica,Exploradores,EXP,2269,760,82
2023,Básico,Bosque Verde,Forjadores,FOR,2856,1302,7
2023,Avanzado,Bosque Verde,Nómadas,NOM,2427,1162,88
2024,Intermedio,Desierto Rojo,Pioneros,PIO,2514,286,65
2023,Intermedio,Ciudad Oscura,Vigías,VIG,928,429,47
2024,Avanzado,Isla Helada,Sombras,SOM,2140,1226,9
2024,Básico,Ciudad Oscura,Sombras,SOM,1824,337,103
2024,Avanzado,Bosque Verde,Titán,TIT,2192,211,29
2025,Intermedio,Zona Volcánica,Titán,TIT,2310,205,31
2023,Avanzado,Desierto Rojo,Sombras,SOM,2294,1092,20
2021,Avanzado,Zona Volcánica,Forjadores,FOR,1148,736,75
2021,Avanzado,Isla Helada,Guardianes,GUA,1420,332,64
2021,Avanzado,Desierto Rojo,Titán,TIT,1695,1142,95
2023,Intermedio,Isla Helada,Titán,TIT,1498,1035,75
2022,Intermedio,Desierto Rojo,Nómadas,NOM,785,665,103
2024,Intermedio,Zona Volcánica,Sombras,SOM,510,679,97
2023,Avanzado,Zona Volcánica,Titán,TIT,1108,1014,73
2024,Intermedio,Ciudad Oscura,Pioneros,PIO,2365,759,116
2022,Avanzado,Desierto Rojo,Pioneros,PIO,1456,941,10
2023,Avanzado,Isla Helada,Pioneros,PIO,2081,1459,106
2022,Intermedio,Bosque Verde,Nómadas,NOM,2557,1308,47
2021,Intermedio,Bosque Verde,Titán,TIT,562,395,57
2022,Básico,Isla Helada,Sombras,SOM,1886,1376,93
2024,Avanzado,Bosque Verde,Vigías,VIG,2685,878,45
2024,Avanzado,Bosque Verde,Guardianes,GUA,1461,1392,92
2023,Básico,Bosque Verde,Pioneros,PIO,903,1397,95
2021,Intermedio,Desierto Rojo,Sombras,SOM,618,194,46
2021,Intermedio,Ciudad Oscura,Vigías,VIG,2264,398,36
2025,Intermedio,Zona Volcánica,Nómadas,NOM,1196,458,15
2025,Intermedio,Zona Volcánica,Forjadores,FOR,2538,1294,23
2022,Intermedio,Ciudad Oscura,Titán,TIT,1545,1465,6
2024,Intermedio,Zona Volcánica,Nómadas,NOM,802,1004,49
2025,Intermedio,Isla Helada,Sombras,SOM,2371,718,30
2024,Intermedio,Bosque Verde,Forjadores,FOR,2062,1271,50
2025,Intermedio,Ciudad Oscura,Exploradores,EXP,2121,662,6
2025,Avanzado,Bosque Verde,Titán,TIT,1672,571,82
2023,Básico,Desierto Rojo,Sombras,SOM,1060,1386,17
2021,Intermedio,Isla Helada,Exploradores,EXP,2873,847,98
2022,Básico,Ciudad Oscura,Vigías,VIG,2201,459,30
2022,Avanzado,Ciudad Oscura,Sombras,SOM,1173,626,110
2024,Intermedio,Ciudad Oscura,Guardianes,GUA,2418,254,23
2022,Avanzado,Isla Helada,Vigías,VIG,869,908,6
2023,Avanzado,Bosque Verde,Titán,TIT,2009,1477,100
2023,Avanzado,Isla Helada,Vigías,VIG,943,1482,34
2024,Básico,Zona Volcánica,Vigías,VIG,2998,553,87
2021,Avanzado,Isla Helada,Sombras,SOM,2172,338,22
2021,Básico,Ciudad Oscura,Titán,TIT,975,299,35
2025,Básico,Isla Helada,Titán,TIT,2019,1473,100
2025,Intermedio,Zona Volcánica,Nómadas,NOM,2199,1441,17
2024,Avanzado,Isla Helada,Sombras,SOM,634,858,32
2024,Intermedio,Desierto Rojo,Vigías,VIG,906,852,74
2023,Básico,Isla Helada,Sombras,SOM,1277,350,113
2024,Básico,Desierto Rojo,Exploradores,EXP,707,783,36
2022,Avanzado,Desierto Rojo,Guardianes,GUA,2770,524,80
2022,Básico,Ciudad Oscura,Nómadas,NOM,2941,105,40
2022,Básico,Zona Volcánica,Sombras,SOM,1214,325,89
2021,Básico,Bosque Verde,Vigías,VIG,1474,1305,46
2021,Básico,Ciudad Oscura,Exploradores,EXP,1019,962,72
2021,Avanzado,Bosque Verde,Titán,TIT,2336,841,70
2025,Básico,Isla Helada,Forjadores,FOR,677,1449,71
2023,Intermedio,Bosque Verde,Exploradores,EXP,2461,922,59
2021,Intermedio,Isla Helada,Guardianes,GUA,830,759,82
2022,Básico,Desierto Rojo,Sombras,SOM,2897,1223,96
2023,Intermedio,Zona Volcánica,Sombras,SOM,2358,1135,82
2024,Básico,Bosque Verde,Forjadores,FOR,2261,1024,118
2022,Intermedio,Ciudad Oscura,Titán,TIT,2133,951,98
2021,Intermedio,Isla Helada,Vigías,VIG,1544,866,24
2024,Básico,Bosque Verde,Guardianes,GUA,881,984,17
2023,Básico,Zona Volcánica,Exploradores,EXP,2902,1250,76
2023,Avanzado,Bosque Verde,Pioneros,PIO,1948,1462,101
2024,Avanzado,Bosque Verde,Sombras,SOM,2959,739,50
2021,Avanzado,Zona Volcánica,Forjadores,FOR,1133,1444,66
2022,Básico,Ciudad Oscura,Vigías,VIG,970,670,78
2022,Intermedio,Zona Volcánica,Exploradores,EXP,2994,1447,111
2023,Básico,Desierto Rojo,Sombras,SOM,1765,795,49
2021,Básico,Desierto Rojo,Pioneros,PIO,785,390,99
2021,Básico,Zona Volcánica,Forjadores,FOR,2040,959,63
2023,Básico,Ciudad Oscura,Sombras,SOM,1828,1262,81
2021,Básico,Desierto Rojo,Nómadas,NOM,703,1480,15
2023,Intermedio,Isla Helada,Titán,TIT,2986,1005,58
2023,Básico,Zona Volcánica,Guardianes,GUA,1913,980,19
2023,Avanzado,Zona Volcánica,Titán,TIT,2658,1466,44
2021,Básico,Isla Helada,Exploradores,EXP,531,518,43
2022,Básico,Ciudad Oscura,Sombras,SOM,1843,345,5
2024,Avanzado,Isla Helada,Nómadas,NOM,1029,878,73
2022,Avanzado,Zona Volcánica,Vigías,VIG,795,913,115
2021,Intermedio,Bosque Verde,Titán,TIT,818,741,78
2024,Avanzado,Isla Helada,Pioneros,PIO,1685,335,56
2021,Intermedio,Desierto Rojo,Titán,TIT,1982,280,60
2021,Básico,Isla Helada,Pioneros,PIO,2646,261,55
2023,Avanzado,Ciudad Oscura,Forjadores,FOR,1864,444,14
2025,Avanzado,Bosque Verde,Forjadores,FOR,1931,819,98
2022,Básico,Bosque Verde,Nómadas,NOM,1548,504,27
2025,Básico,Bosque Verde,Nómadas,NOM,2523,1050,101
2025,Avanzado,Isla Helada,Vigías,VIG,1794,409,61
2021,Intermedio,Isla Helada,Sombras,SOM,1625,1311,12
2023,Avanzado,Bosque Verde,Sombras,SOM,2391,1025,9
2021,Intermedio,Ciudad Oscura,Guardianes,GUA,869,1359,81
2025,Intermedio,Isla Helada,Exploradores,EXP,2342,1270,88
2022,Intermedio,Zona Volcánica,Titán,TIT,2553,408,12
2024,Básico,Ciudad Oscura,Guardianes,GUA,2566,1423,27
2021,Básico,Isla Helada,Titán,TIT,2646,1170,83
2022,Intermedio,Ciudad Oscura,Sombras,SOM,2086,937,104
2023,Avanzado,Zona Volcánica,Exploradores,EXP,1870,234,47
2021,Avanzado,Isla Helada,Sombras,SOM,1532,1444,82
2022,Intermedio,Bosque Verde,Nómadas,NOM,1932,735,88
2024,Básico,Zona Volcánica,Guardianes,GUA,1768,1244,53
2023,Básico,Zona Volcánica,Guardianes,GUA,2234,1141,51
2021,Intermedio,Ciudad Oscura,Nómadas,NOM,1377,799,103
2024,Básico,Desierto Rojo,Nómadas,NOM,1134,258,42
2021,Avanzado,Zona Volcánica,Exploradores,EXP,1879,1365,21
2025,Intermedio,Desierto Rojo,Nómadas,NOM,1240,1379,108
2022,Avanzado,Isla Helada,Exploradores,EXP,2182,846,91
2022,Intermedio,Zona Volcánica,Sombras,SOM,2338,579,73
2022,Intermedio,Isla Helada,Forjadores,FOR,2006,1489,78
2024,Intermedio,Ciudad Oscura,Pioneros,PIO,2559,1180,58
2022,Básico,Zona Volcánica,Nómadas,NOM,1524,206,87
2024,Intermedio,Zona Volcánica,Guardianes,GUA,2613,355,41
2021,Básico,Ciudad Oscura,Titán,TIT,2602,401,111
2024,Básico,Desierto Rojo,Titán,TIT,1931,154,58
2021,Intermedio,Zona Volcánica,Vigías,VIG,1465,890,15
2023,Básico,Bosque Verde,Vigías,VIG,905,1431,47
2022,Básico,Bosque Verde,Sombras,SOM,2435,384,102
2024,Intermedio,Zona Volcánica,Exploradores,EXP,824,138,37
2022,Básico,Zona Volcánica,Pioneros,PIO,955,690,35
2023,Básico,Bosque Verde,Forjadores,FOR,2219,1408,106
2025,Intermedio,Bosque Verde,Guardianes,GUA,2547,1322,73
2021,Avanzado,Zona Volcánica,Forjadores,FOR,1088,696,59
2021,Avanzado,Ciudad Oscura,Forjadores,FOR,2837,953,28
2021,Avanzado,Ciudad Oscura,Guardianes,GUA,2654,1214,69
2025,Avanzado,Bosque Verde,Pioneros,PIO,2425,189,86
2024,Intermedio,Ciudad Oscura,Exploradores,EXP,1962,238,49
2022,Avanzado,Bosque Verde,Vigías,VIG,1046,190,50
2025,Intermedio,Desierto Rojo,Titán,TIT,2460,1393,28
2022,Básico,Isla Helada,Exploradores,EXP,1701,512,10
2022,Básico,Ciudad Oscura,Sombras,SOM,2611,915,109
2025,Intermedio,Ciudad Oscura,Exploradores,EXP,1282,685,50
2021,Avanzado,Ciudad Oscura,Sombras,SOM,1009,853,60
2024,Avanzado,Isla Helada,Pioneros,PIO,1888,482,68
2024,Intermedio,Zona Volcánica,Sombras,SOM,838,969,15
2024,Avanzado,Desierto Rojo,Sombras,SOM,1815,310,15
2023,Avanzado,Ciudad Oscura,Sombras,SOM,2326,1334,96
2024,Básico,Isla Helada,Vigías,VIG,2331,186,98
2023,Avanzado,Isla Helada,Sombras,SOM,734,253,90
2024,Intermedio,Zona Volcánica,Nómadas,NOM,627,392,113
2025,Avanzado,Isla Helada,Exploradores,EXP,1017,237,35
2023,Intermedio,Isla Helada,Exploradores,EXP,2978,414,91
2024,Intermedio,Ciudad Oscura,Titán,TIT,814,1275,22
2025,Intermedio,Isla Helada,Vigías,VIG,1641,611,19
2021,Avanzado,Desierto Rojo,Titán,TIT,2620,892,76
2021,Intermedio,Ciudad Oscura,Titán,TIT,1378,1353,41
2024,Básico,Bosque Verde,Nómadas,NOM,803,1025,27
2024,Básico,Ciudad Oscura,Vigías,VIG,765,1226,74
2023,Intermedio,Desierto Rojo,Nómadas,NOM,1980,1141,33
2021,Básico,Desierto Rojo,Forjadores,FOR,2523,153,51
2025,Avanzado,Ciudad Oscura,Titán,TIT,2759,365,83
2021,Básico,Ciudad Oscura,Pioneros,PIO,2460,1176,57
2024,Avanzado,Bosque Verde,Nómadas,NOM,1798,1415,14
2024,Intermedio,Zona Volcánica,Vigías,VIG,1025,1229,86
2025,Básico,Desierto Rojo,Pioneros,PIO,2559,213,111
2021,Avanzado,Desierto Rojo,Sombras,SOM,1174,431,46
2022,Intermedio,Zona Volcánica,Sombras,SOM,823,613,30
2025,Intermedio,Desierto Rojo,Sombras,SOM,2685,291,69
2022,Avanzado,Zona Volcánica,Nómadas,NOM,1201,1449,84
2025,Intermedio,Zona Volcánica,Exploradores,EXP,616,266,10
2025,Intermedio,Desierto Rojo,Pioneros,PIO,624,1119,118
2025,Intermedio,Ciudad Oscura,Titán,TIT,1503,931,43
2024,Básico,Bosque Verde,Nómadas,NOM,2300,951,66
2024,Básico,Ciudad Oscura,Nómadas,NOM,1780,753,98
2023,Intermedio,Desierto Rojo,Vigías,VIG,2609,1250,18
2023,Básico,Isla Helada,Guardianes,GUA,1595,1020,36
2022,Básico,Bosque Verde,Sombras,SOM,2073,1360,58
2022,Básico,Ciudad Oscura,Vigías,VIG,1277,426,68
2025,Intermedio,Isla Helada,Sombras,SOM,2537,147,16
2024,Avanzado,Isla Helada,Forjadores,FOR,1381,1294,50
2021,Básico,Ciudad Oscura,Titán,TIT,2947,1439,91
2024,Intermedio,Zona Volcánica,Exploradores,EXP,940,982,22
2023,Avanzado,Ciudad Oscura,Pioneros,PIO,1998,192,56
2021,Avanzado,Zona Volcánica,Forjadores,FOR,1984,1233,41
2021,Intermedio,Zona Volcánica,Titán,TIT,2752,672,110
2025,Avanzado,Zona Volcánica,Guardianes,GUA,1027,298,55
2023,Intermedio,Zona Volcánica,Vigías,VIG,1090,507,82
2025,Intermedio,Zona Volcánica,Exploradores,EXP,685,179,22
2023,Intermedio,Zona Volcánica,Titán,TIT,1110,1341,119
2025,Básico,Ciudad Oscura,Vigías,VIG,1165,904,83
2023,Avanzado,Ciudad Oscura,Titán,TIT,2805,713,65
2021,Intermedio,Ciudad Oscura,Guardianes,GUA,2206,1295,44
2021,Avanzado,Isla Helada,Sombras,SOM,2869,1282,34
2021,Avanzado,Isla Helada,Nómadas,NOM,2647,1388,97
2025,Intermedio,Desierto Rojo,Forjadores,FOR,629,1272,94
2021,Básico,Bosque Verde,Titán,TIT,1784,957,24
2024,Avanzado,Desierto Rojo,Pioneros,PIO,2555,1352,65
2021,Avanzado,Desierto Rojo,Forjadores,FOR,2797,765,89
2024,Avanzado,Isla Helada,Vigías,VIG,1209,1041,73
2023,Avanzado,Ciudad Oscura,Sombras,SOM,2998,1091,29
2022,Intermedio,Zona Volcánica,Sombras,SOM,1421,709,103
2023,Avanzado,Desierto Rojo,Titán,TIT,1798,1082,49
2025,Avanzado,Ciudad Oscura,Sombras,SOM,999,1274,91
2025,Intermedio,Isla Helada,Vigías,VIG,1099,694,10
2023,Avanzado,Bosque Verde,Vigías,VIG,2311,1443,37
2024,Básico,Desierto Rojo,Sombras,SOM,2802,656,22
2021,Avanzado,Zona Volcánica,Forjadores,FOR,1493,203,90
2025,Básico,Desierto Rojo,Exploradores,EXP,910,946,47
2024,Básico,Desierto Rojo,Exploradores,EXP,2754,423,57
2024,Intermedio,Desierto Rojo,Sombras,SOM,1815,684,87
2021,Básico,Zona Volcánica,Forjadores,FOR,2691,176,27
2024,Básico,Bosque Verde,Pioneros,PIO,2529,481,100
2023,Básico,Bosque Verde,Sombras,SOM,2826,1334,18
2023,Intermedio,Isla Helada,Titán,TIT,1049,1132,64
2023,Básico,Bosque Verde,Vigías,VIG,1165,1039,87
2023,Avanzado,Desierto Rojo,Exploradores,EXP,1880,704,77
2022,Básico,Zona Volcánica,Pioneros,PIO,2251,1155,46
2021,Intermedio,Bosque Verde,Nómadas,NOM,1075,1077,46
2022,Básico,Ciudad Oscura,Pioneros,PIO,1464,1014,101
2023,Intermedio,Ciudad Oscura,Exploradores,EXP,1571,1438,51
2022,Básico,Bosque Verde,Titán,TIT,1756,427,56
2025,Avanzado,Ciudad Oscura,Guardianes,GUA,1708,852,83
2022,Básico,Desierto Rojo,Titán,TIT,1127,1031,100
2025,Intermedio,Isla Helada,Titán,TIT,2701,1460,110
2022,Básico,Zona Volcánica,Guardianes,GUA,2652,1014,72
2023,Básico,Zona Volcánica,Guardianes,GUA,752,1221,120
2025,Básico,Zona Volcánica,Nómadas,NOM,1173,771,114
2025,Intermedio,Bosque Verde,Forjadores,FOR,2888,1101,16
2025,Intermedio,Bosque Verde,Titán,TIT,1040,1151,58
2024,Avanzado,Bosque Verde,Titán,TIT,1762,144,55
2023,Básico,Desierto Rojo,Guardianes,GUA,685,967,49
2021,Avanzado,Bosque Verde,Guardianes,GUA,2433,164,41
2024,Básico,Desierto Rojo,Pioneros,PIO,2033,883,62
2024,Intermedio,Bosque Verde,Nómadas,NOM,1924,342,27
2025,Intermedio,Zona Volcánica,Nómadas,NOM,1412,107,101
2021,Intermedio,Isla Helada,Pioneros,PIO,2678,876,110
2022,Básico,Isla Helada,Vigías,VIG,1135,664,29
2021,Básico,Isla Helada,Exploradores,EXP,1485,522,13
2021,Avanzado,Bosque Verde,Titán,TIT,2948,1476,95
2021,Básico,Bosque Verde,Pioneros,PIO,2297,579,74
2022,Básico,Desierto Rojo,Sombras,SOM,1459,1279,45
2025,Avanzado,Ciudad Oscura,Forjadores,FOR,1736,393,89
2025,Básico,Isla Helada,Sombras,SOM,1627,224,76
2025,Avanzado,Desierto Rojo,Pioneros,PIO,2776,1115,11
2023,Avanzado,Isla Helada,Vigías,VIG,2205,936,24
2023,Intermedio,Desierto Rojo,Titán,TIT,1487,561,43
2022,Intermedio,Bosque Verde,Pioneros,PIO,2206,1241,72
2022,Intermedio,Desierto Rojo,Sombras,SOM,1332,776,87
2021,Intermedio,Ciudad Oscura,Guardianes,GUA,2693,490,11
2023,Intermedio,Zona Volcánica,Exploradores,EXP,798,485,107
2025,Avanzado,Zona Volcánica,Forjadores,FOR,2463,527,116
2023,Intermedio,Bosque Verde,Forjadores,FOR,1278,340,100
2024,Básico,Zona Volcánica,Forjadores,FOR,2124,590,75
2023,Intermedio,Isla Helada,Titán,TIT,2685,1428,50
2023,Intermedio,Ciudad Oscura,Titán,TIT,2408,301,107
2024,Intermedio,Desierto Rojo,Vigías,VIG,1781,947,10
2025,Básico,Desierto Rojo,Exploradores,EXP,1568,1233,79
2025,Avanzado,Isla Helada,Sombras,SOM,1124,501,47
2022,Intermedio,Zona Volcánica,Forjadores,FOR,2545,1227,88
2023,Intermedio,Isla Helada,Titán,TIT,2387,444,98
2023,Básico,Desierto Rojo,Titán,TIT,1253,1210,87
2021,Avanzado,Bosque Verde,Guardianes,GUA,698,113,57
2022,Avanzado,Desierto Rojo,Guardianes,GUA,1118,118,32
2025,Intermedio,Ciudad Oscura,Exploradores,EXP,2479,1450,67
2021,Básico,Zona Volcánica,Pioneros,PIO,548,134,72
2023,Avanzado,Ciudad Oscura,Exploradores,EXP,2557,1480,60
2022,Básico,Bosque Verde,Nómadas,NOM,1487,493,84
2025,Intermedio,Ciudad Oscura,Sombras,SOM,2125,261,52
2024,Intermedio,Zona Volcánica,Forjadores,FOR,1425,714,92
2021,Avanzado,Bosque Verde,Guardianes,GUA,2160,876,53
2025,Intermedio,Bosque Verde,Exploradores,EXP,1201,269,68
2024,Avanzado,Ciudad Oscura,Guardianes,GUA,2663,187,34
2022,Avanzado,Zona Volcánica,Titán,TIT,1610,195,14
2023,Avanzado,Zona Volcánica,Exploradores,EXP,1234,744,7
2022,Avanzado,Desierto Rojo,Pioneros,PIO,815,712,25
2025,Básico,Zona Volcánica,Pioneros,PIO,2714,779,54
2022,Avanzado,Bosque Verde,Vigías,VIG,719,300,60
2022,Básico,Ciudad Oscura,Pioneros,PIO,1836,160,86
2023,Intermedio,Isla Helada,Forjadores,FOR,1957,1232,53
2024,Básico,Zona Volcánica,Pioneros,PIO,851,1366,42
2022,Avanzado,Bosque Verde,Guardianes,GUA,1597,415,53
2022,Avanzado,Isla Helada,Vigías,VIG,1977,318,16
2021,Intermedio,Isla Helada,Vigías,VIG,1604,309,21
2021,Básico,Isla Helada,Titán,TIT,2781,1236,70
