job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,posted_year,company_size,salario_promedio_usd,rango_salarial
MLOps Engineer,Startup,Healthcare,Australia,Remote,Remote,Senior,5.0,154485,179510,Full-time,2020-01-01,Medium,166997.5,Top
Machine Learning Engineer,MNC,Healthcare,UK,Manchester,Onsite,Senior,5.0,142932,179498,Full-time,2020-01-01,Small,161215.0,Top
Data Analyst,MNC,Healthcare,Australia,Sydney,Hybrid,Senior,5.0,149745,179491,Full-time,2020-01-01,Small,164618.0,Top
Data Scientist,MNC,Healthcare,Australia,Remote,Remote,Senior,5.0,142335,179475,Full-time,2020-01-01,Large,160905.0,Top
Machine Learning Engineer,Startup,Finance,UK,Birmingham,Onsite,Senior,5.0,148218,179472,Full-time,2020-01-01,Medium,163845.0,Top
AI Researcher,Startup,Retail,Australia,Sydney,Onsite,Senior,5.0,142357,179463,Full-time,2020-01-01,Medium,160910.0,Top
AI Researcher,Startup,Healthcare,Australia,Brisbane,Onsite,Senior,5.0,146049,179452,Full-time,2020-01-01,Large,162750.5,Top
MLOps Engineer,MNC,Retail,India,Pune,Onsite,Senior,5.0,149062,179448,Full-time,2020-01-01,Small,164255.0,Top
Machine Learning Engineer,Startup,Healthcare,Germany,Remote,Remote,Senior,5.0,140089,179418,Full-time,2020-01-01,Medium,159753.5,Top
Data Analyst,Research Lab,Retail,UK,London,Onsite,Senior,5.0,147734,179414,Full-time,2020-01-01,Medium,163574.0,Top
Data Analyst,Research Lab,Finance,USA,Austin,Hybrid,Senior,5.0,148930,179411,Full-time,2020-01-01,Small,164170.5,Top
MLOps Engineer,Startup,Finance,Australia,Brisbane,Hybrid,Senior,5.0,143236,179409,Full-time,2020-01-01,Small,161322.5,Top
Applied Scientist,Research Lab,Tech,India,Delhi,Hybrid,Senior,5.0,147501,179402,Full-time,2020-01-01,Medium,163451.5,Top
AI Researcher,Research Lab,Education,Canada,Toronto,Onsite,Senior,5.0,143082,179399,Full-time,2020-01-01,Large,161240.5,Top
Applied Scientist,Startup,Retail,Canada,Montreal,Hybrid,Senior,5.0,144910,179399,Full-time,2020-01-01,Small,162154.5,Top
Applied Scientist,Research Lab,Healthcare,Canada,Vancouver,Onsite,Senior,5.0,142483,179396,Full-time,2020-01-01,Medium,160939.5,Top
Data Analyst,MNC,Tech,Canada,Toronto,Onsite,Senior,5.0,154393,179395,Full-time,2020-01-01,Small,166894.0,Top
AI Researcher,Startup,Retail,UK,London,Hybrid,Senior,5.0,154830,179389,Full-time,2020-01-01,Large,167109.5,Top
Applied Scientist,Research Lab,Finance,Germany,Munich,Hybrid,Senior,5.0,151970,179370,Full-time,2020-01-01,Medium,165670.0,Top
Data Scientist,Research Lab,Retail,USA,Remote,Remote,Senior,5.0,142210,179357,Full-time,2020-01-01,Medium,160783.5,Top
MLOps Engineer,MNC,Healthcare,UK,Remote,Remote,Senior,5.0,142483,179349,Full-time,2020-01-01,Large,160916.0,Top
MLOps Engineer,Startup,Finance,Germany,Remote,Remote,Senior,5.0,146696,179345,Full-time,2020-01-01,Medium,163020.5,Top
Machine Learning Engineer,MNC,Healthcare,UK,Remote,Remote,Senior,5.0,142995,179330,Full-time,2020-01-01,Small,161162.5,Top
Machine Learning Engineer,Research Lab,Healthcare,Canada,Vancouver,Onsite,Senior,5.0,142186,179318,Full-time,2020-01-01,Large,160752.0,Top
Data Scientist,Startup,Education,Germany,Berlin,Hybrid,Senior,5.0,141340,179316,Full-time,2020-01-01,Medium,160328.0,Top
Data Scientist,MNC,Retail,USA,New York,Hybrid,Senior,5.0,149897,179297,Full-time,2020-01-01,Small,164597.0,Top
Applied Scientist,Research Lab,Tech,USA,New York,Hybrid,Senior,5.0,153101,179297,Full-time,2020-01-01,Medium,166199.0,Top
AI Researcher,Research Lab,Education,India,Hyderabad,Onsite,Senior,5.0,153082,179249,Full-time,2020-01-01,Medium,166165.5,Top
Data Analyst,Startup,Retail,USA,Remote,Remote,Senior,5.0,150499,179248,Full-time,2020-01-01,Medium,164873.5,Top
AI Researcher,MNC,Finance,India,Remote,Remote,Senior,5.0,142292,179236,Full-time,2020-01-01,Large,160764.0,Top
Data Analyst,Research Lab,Education,Australia,Remote,Remote,Senior,5.0,142952,179223,Full-time,2020-01-01,Large,161087.5,Top
AI Researcher,MNC,Healthcare,Canada,Vancouver,Onsite,Senior,5.0,148777,179214,Full-time,2020-01-01,Medium,163995.5,Top
MLOps Engineer,MNC,Finance,Germany,Munich,Hybrid,Senior,5.0,146089,179181,Full-time,2020-01-01,Large,162635.0,Top
MLOps Engineer,MNC,Tech,Germany,Frankfurt,Hybrid,Senior,5.0,152764,179178,Full-time,2020-01-01,Medium,165971.0,Top
Applied Scientist,Startup,Retail,India,Remote,Remote,Senior,5.0,154493,179169,Full-time,2020-01-01,Medium,166831.0,Top
MLOps Engineer,Startup,Finance,UK,Manchester,Hybrid,Senior,5.0,141767,179169,Full-time,2020-01-01,Medium,160468.0,Top
Machine Learning Engineer,Startup,Tech,Canada,Remote,Remote,Senior,5.0,147209,179167,Full-time,2020-01-01,Small,163188.0,Top
Data Analyst,Research Lab,Tech,Canada,Vancouver,Hybrid,Senior,5.0,149074,179165,Full-time,2020-01-01,Medium,164119.5,Top
Data Analyst,MNC,Finance,India,Remote,Remote,Senior,5.0,145005,179157,Full-time,2020-01-01,Large,162081.0,Top
MLOps Engineer,MNC,Finance,Canada,Montreal,Hybrid,Senior,5.0,147981,179146,Full-time,2020-01-01,Large,163563.5,Top
Machine Learning Engineer,Startup,Tech,India,Pune,Onsite,Senior,5.0,148381,179145,Full-time,2020-01-01,Small,163763.0,Top
AI Researcher,MNC,Tech,USA,Remote,Remote,Senior,5.0,146344,179121,Full-time,2020-01-01,Small,162732.5,Top
AI Researcher,Startup,Retail,Australia,Melbourne,Hybrid,Senior,5.0,152962,179121,Full-time,2020-01-01,Small,166041.5,Top
Data Scientist,MNC,Finance,USA,Remote,Remote,Senior,5.0,145479,179102,Full-time,2020-01-01,Small,162290.5,Top
Applied Scientist,MNC,Education,Australia,Sydney,Onsite,Senior,5.0,151058,179097,Full-time,2020-01-01,Small,165077.5,Top
AI Researcher,Research Lab,Education,India,Remote,Remote,Senior,5.0,144718,179047,Full-time,2020-01-01,Small,161882.5,Top
Applied Scientist,Startup,Education,UK,Remote,Remote,Senior,5.0,141318,179046,Full-time,2020-01-01,Large,160182.0,Top
MLOps Engineer,Research Lab,Tech,Australia,Remote,Remote,Senior,5.0,145034,179045,Full-time,2020-01-01,Small,162039.5,Top
Applied Scientist,Research Lab,Tech,India,Remote,Remote,Senior,5.0,145923,179016,Full-time,2020-01-01,Small,162469.5,Top
Machine Learning Engineer,Research Lab,Retail,Germany,Berlin,Hybrid,Senior,5.0,142176,178999,Full-time,2020-01-01,Small,160587.5,Top
Data Analyst,Research Lab,Tech,Australia,Melbourne,Hybrid,Senior,5.0,145529,178970,Full-time,2020-01-01,Large,162249.5,Top
MLOps Engineer,Research Lab,Healthcare,Canada,Remote,Remote,Senior,5.0,149963,178953,Full-time,2020-01-01,Medium,164458.0,Top
Machine Learning Engineer,Startup,Finance,UK,Manchester,Hybrid,Senior,5.0,150091,178949,Full-time,2020-01-01,Large,164520.0,Top
MLOps Engineer,Research Lab,Tech,USA,Remote,Remote,Senior,5.0,142586,178947,Full-time,2020-01-01,Medium,160766.5,Top
Machine Learning Engineer,Startup,Finance,UK,Manchester,Hybrid,Senior,5.0,149110,178940,Full-time,2020-01-01,Medium,164025.0,Top
Data Analyst,Research Lab,Education,Germany,Munich,Hybrid,Senior,5.0,145027,178928,Full-time,2020-01-01,Large,161977.5,Top
AI Researcher,Research Lab,Education,Canada,Montreal,Hybrid,Senior,5.0,153509,178925,Full-time,2020-01-01,Medium,166217.0,Top
MLOps Engineer,Research Lab,Tech,India,Hyderabad,Onsite,Senior,5.0,151598,178915,Full-time,2020-01-01,Medium,165256.5,Top
Applied Scientist,MNC,Retail,Germany,Berlin,Onsite,Senior,5.0,153836,178909,Full-time,2020-01-01,Small,166372.5,Top
Machine Learning Engineer,Research Lab,Retail,UK,London,Onsite,Senior,5.0,151844,178905,Full-time,2020-01-01,Medium,165374.5,Top
AI Researcher,Startup,Finance,UK,London,Onsite,Senior,5.0,154747,178905,Full-time,2020-01-01,Small,166826.0,Top
AI Researcher,Research Lab,Retail,Germany,Hamburg,Onsite,Senior,5.0,141644,178901,Full-time,2020-01-01,Small,160272.5,Top
Data Scientist,Research Lab,Healthcare,UK,Manchester,Hybrid,Senior,5.0,151907,178887,Full-time,2020-01-01,Medium,165397.0,Top
Machine Learning Engineer,Research Lab,Retail,UK,Remote,Remote,Senior,5.0,140432,178876,Full-time,2020-01-01,Small,159654.0,Top
AI Researcher,MNC,Education,Canada,Toronto,Onsite,Senior,5.0,147083,178876,Full-time,2020-01-01,Large,162979.5,Top
MLOps Engineer,Startup,Tech,Germany,Hamburg,Onsite,Senior,5.0,149965,178863,Full-time,2020-01-01,Small,164414.0,Top
Machine Learning Engineer,Startup,Tech,India,Delhi,Hybrid,Senior,5.0,141050,178857,Full-time,2020-01-01,Small,159953.5,Top
Data Scientist,Research Lab,Finance,Germany,Berlin,Hybrid,Senior,5.0,154964,178852,Full-time,2020-01-01,Large,166908.0,Top
Data Scientist,MNC,Tech,India,Pune,Hybrid,Senior,5.0,151174,178848,Full-time,2020-01-01,Large,165011.0,Top
MLOps Engineer,Research Lab,Education,Australia,Remote,Remote,Senior,5.0,154181,178819,Full-time,2020-01-01,Small,166500.0,Top
Applied Scientist,Startup,Education,Canada,Toronto,Hybrid,Senior,5.0,150187,178804,Full-time,2020-01-01,Small,164495.5,Top
Machine Learning Engineer,Research Lab,Finance,USA,Austin,Hybrid,Senior,5.0,154649,178796,Full-time,2020-01-01,Small,166722.5,Top
MLOps Engineer,Startup,Retail,Germany,Remote,Remote,Senior,5.0,143966,178795,Full-time,2020-01-01,Small,161380.5,Top
Machine Learning Engineer,Research Lab,Finance,USA,Austin,Hybrid,Senior,5.0,140570,178785,Full-time,2020-01-01,Medium,159677.5,Top
Data Analyst,MNC,Education,Germany,Remote,Remote,Senior,5.0,147862,178759,Full-time,2020-01-01,Medium,163310.5,Top
Data Scientist,MNC,Retail,USA,Remote,Remote,Senior,5.0,148484,178749,Full-time,2020-01-01,Small,163616.5,Top
Machine Learning Engineer,Startup,Healthcare,UK,Manchester,Onsite,Senior,5.0,146173,178733,Full-time,2020-01-01,Medium,162453.0,Top
Machine Learning Engineer,Startup,Finance,Canada,Remote,Remote,Senior,5.0,148115,178727,Full-time,2020-01-01,Small,163421.0,Top
Data Analyst,Research Lab,Finance,Australia,Melbourne,Onsite,Senior,5.0,146830,178707,Full-time,2020-01-01,Small,162768.5,Top
Data Analyst,Startup,Finance,Australia,Sydney,Onsite,Senior,5.0,144680,178677,Full-time,2020-01-01,Small,161678.5,Top
AI Researcher,MNC,Tech,Germany,Hamburg,Onsite,Senior,5.0,145767,178673,Full-time,2020-01-01,Medium,162220.0,Top
AI Researcher,MNC,Education,USA,New York,Onsite,Senior,5.0,145413,178659,Full-time,2020-01-01,Large,162036.0,Top
Data Analyst,Startup,Finance,USA,Seattle,Onsite,Senior,5.0,154296,178646,Full-time,2020-01-01,Medium,166471.0,Top
Data Analyst,Startup,Tech,Canada,Toronto,Onsite,Senior,5.0,152597,178616,Full-time,2020-01-01,Small,165606.5,Top
AI Researcher,Startup,Education,USA,New York,Hybrid,Senior,5.0,141168,178594,Full-time,2020-01-01,Medium,159881.0,Top
Data Scientist,Startup,Healthcare,Germany,Remote,Remote,Senior,5.0,149177,178580,Full-time,2020-01-01,Large,163878.5,Top
AI Researcher,Startup,Education,India,Hyderabad,Onsite,Senior,5.0,148732,178574,Full-time,2020-01-01,Small,163653.0,Top
Data Scientist,Startup,Finance,Germany,Munich,Onsite,Senior,5.0,145724,178572,Full-time,2020-01-01,Large,162148.0,Top
Data Analyst,Research Lab,Education,Germany,Hamburg,Hybrid,Senior,5.0,143493,178557,Full-time,2020-01-01,Small,161025.0,Top
Machine Learning Engineer,Startup,Retail,Australia,Brisbane,Onsite,Senior,5.0,152534,178555,Full-time,2020-01-01,Medium,165544.5,Top
Applied Scientist,Research Lab,Retail,USA,San Francisco,Hybrid,Senior,5.0,148202,178542,Full-time,2020-01-01,Medium,163372.0,Top
Machine Learning Engineer,Research Lab,Education,Australia,Remote,Remote,Senior,5.0,151334,178515,Full-time,2020-01-01,Large,164924.5,Top
Data Scientist,Research Lab,Education,Australia,Remote,Remote,Senior,5.0,152495,178515,Full-time,2020-01-01,Small,165505.0,Top
AI Researcher,Startup,Retail,Germany,Frankfurt,Hybrid,Senior,5.0,152322,178507,Full-time,2020-01-01,Large,165414.5,Top
Data Analyst,MNC,Tech,UK,Remote,Remote,Senior,5.0,152859,178505,Full-time,2020-01-01,Small,165682.0,Top
AI Researcher,MNC,Retail,UK,Remote,Remote,Senior,5.0,152231,178461,Full-time,2020-01-01,Medium,165346.0,Top
Data Scientist,MNC,Retail,USA,Remote,Remote,Senior,5.0,149844,178435,Full-time,2020-01-01,Large,164139.5,Top
Data Scientist,Research Lab,Tech,Australia,Melbourne,Hybrid,Senior,5.0,154702,178418,Full-time,2020-01-01,Small,166560.0,Top
MLOps Engineer,MNC,Retail,Germany,Remote,Remote,Senior,5.0,146361,178401,Full-time,2020-01-01,Medium,162381.0,Top
Machine Learning Engineer,MNC,Tech,Australia,Remote,Remote,Senior,5.0,144712,178400,Full-time,2020-01-01,Medium,161556.0,Top
Machine Learning Engineer,Research Lab,Education,Germany,Berlin,Onsite,Senior,5.0,149155,178399,Full-time,2020-01-01,Medium,163777.0,Top
Machine Learning Engineer,MNC,Healthcare,UK,London,Hybrid,Senior,5.0,142562,178398,Full-time,2020-01-01,Large,160480.0,Top
Applied Scientist,Research Lab,Tech,India,Delhi,Hybrid,Senior,5.0,150914,178371,Full-time,2020-01-01,Large,164642.5,Top
MLOps Engineer,Startup,Education,UK,Birmingham,Hybrid,Senior,5.0,144045,178370,Full-time,2020-01-01,Medium,161207.5,Top
Data Scientist,Research Lab,Finance,India,Hyderabad,Hybrid,Senior,5.0,146960,178369,Full-time,2020-01-01,Large,162664.5,Top
Data Scientist,MNC,Tech,Australia,Brisbane,Hybrid,Senior,5.0,148438,178320,Full-time,2020-01-01,Small,163379.0,Top
Data Analyst,MNC,Education,Canada,Montreal,Hybrid,Senior,5.0,148952,178315,Full-time,2020-01-01,Large,163633.5,Top
Machine Learning Engineer,Research Lab,Healthcare,Canada,Toronto,Hybrid,Senior,5.0,144773,178297,Full-time,2020-01-01,Small,161535.0,Top
MLOps Engineer,MNC,Healthcare,Germany,Remote,Remote,Senior,5.0,150757,178287,Full-time,2020-01-01,Small,164522.0,Top
AI Researcher,Research Lab,Retail,Germany,Munich,Hybrid,Senior,5.0,145805,178281,Full-time,2020-01-01,Large,162043.0,Top
Data Scientist,MNC,Retail,India,Hyderabad,Onsite,Senior,5.0,154276,178279,Full-time,2020-01-01,Large,166277.5,Top
MLOps Engineer,Research Lab,Retail,India,Chennai,Onsite,Senior,5.0,152913,178279,Full-time,2020-01-01,Large,165596.0,Top
Data Analyst,MNC,Healthcare,India,Remote,Remote,Senior,5.0,151149,178269,Full-time,2020-01-01,Medium,164709.0,Top
Applied Scientist,Startup,Retail,Canada,Toronto,Onsite,Senior,5.0,141409,178254,Full-time,2020-01-01,Small,159831.5,Top
Machine Learning Engineer,MNC,Healthcare,USA,Boston,Hybrid,Senior,5.0,145788,178229,Full-time,2020-01-01,Large,162008.5,Top
AI Researcher,MNC,Finance,Canada,Remote,Remote,Senior,5.0,149619,178227,Full-time,2020-01-01,Small,163923.0,Top
Data Scientist,Startup,Retail,India,Remote,Remote,Senior,5.0,154593,178220,Full-time,2020-01-01,Medium,166406.5,Top
Data Analyst,MNC,Finance,India,Remote,Remote,Senior,5.0,144956,178215,Full-time,2020-01-01,Medium,161585.5,Top
AI Researcher,Research Lab,Education,Canada,Montreal,Onsite,Senior,5.0,153253,178214,Full-time,2020-01-01,Medium,165733.5,Top
Data Scientist,Research Lab,Finance,Germany,Frankfurt,Hybrid,Senior,5.0,154059,178148,Full-time,2020-01-01,Medium,166103.5,Top
AI Researcher,Research Lab,Retail,Australia,Melbourne,Hybrid,Senior,5.0,146587,178144,Full-time,2020-01-01,Large,162365.5,Top
Applied Scientist,MNC,Tech,Germany,Frankfurt,Hybrid,Senior,5.0,154240,178143,Full-time,2020-01-01,Large,166191.5,Top
Data Analyst,MNC,Healthcare,Canada,Toronto,Hybrid,Senior,5.0,153741,178128,Full-time,2020-01-01,Large,165934.5,Top
MLOps Engineer,Research Lab,Retail,India,Chennai,Onsite,Senior,5.0,154630,178126,Full-time,2020-01-01,Small,166378.0,Top
Machine Learning Engineer,Startup,Education,India,Pune,Onsite,Senior,5.0,148071,178123,Full-time,2020-01-01,Small,163097.0,Top
Data Scientist,Research Lab,Healthcare,Germany,Remote,Remote,Senior,5.0,145287,178096,Full-time,2020-01-01,Small,161691.5,Top
Machine Learning Engineer,MNC,Tech,India,Remote,Remote,Senior,5.0,149800,178090,Full-time,2020-01-01,Medium,163945.0,Top
Data Scientist,Research Lab,Tech,UK,Birmingham,Onsite,Senior,5.0,151952,178086,Full-time,2020-01-01,Medium,165019.0,Top
MLOps Engineer,MNC,Education,UK,Manchester,Onsite,Senior,5.0,142212,178077,Full-time,2020-01-01,Small,160144.5,Top
Data Scientist,Research Lab,Education,Germany,Frankfurt,Hybrid,Senior,5.0,154886,178075,Full-time,2020-01-01,Small,166480.5,Top
MLOps Engineer,Research Lab,Retail,UK,Manchester,Onsite,Senior,5.0,153559,178062,Full-time,2020-01-01,Small,165810.5,Top
Data Analyst,Research Lab,Healthcare,USA,Remote,Remote,Senior,5.0,146836,178049,Full-time,2020-01-01,Medium,162442.5,Top
AI Researcher,Research Lab,Education,Canada,Remote,Remote,Senior,5.0,140714,178039,Full-time,2020-01-01,Medium,159376.5,Top
Machine Learning Engineer,Startup,Retail,Germany,Munich,Hybrid,Senior,5.0,144149,178036,Full-time,2020-01-01,Small,161092.5,Top
Data Scientist,Research Lab,Retail,Germany,Remote,Remote,Senior,5.0,154940,178014,Full-time,2020-01-01,Small,166477.0,Top
Machine Learning Engineer,Research Lab,Education,Australia,Remote,Remote,Senior,5.0,154597,178002,Full-time,2020-01-01,Large,166299.5,Top
AI Researcher,MNC,Tech,USA,San Francisco,Hybrid,Senior,5.0,144948,177967,Full-time,2020-01-01,Small,161457.5,Top
MLOps Engineer,MNC,Education,Germany,Berlin,Onsite,Senior,5.0,145052,177965,Full-time,2020-01-01,Large,161508.5,Top
Data Scientist,MNC,Retail,Australia,Melbourne,Onsite,Senior,5.0,153819,177963,Full-time,2020-01-01,Large,165891.0,Top
AI Researcher,MNC,Retail,Canada,Vancouver,Onsite,Senior,5.0,154188,177961,Full-time,2020-01-01,Small,166074.5,Top
MLOps Engineer,MNC,Tech,Canada,Remote,Remote,Senior,5.0,144071,177952,Full-time,2020-01-01,Medium,161011.5,Top
Machine Learning Engineer,MNC,Education,USA,Remote,Remote,Senior,5.0,146308,177943,Full-time,2020-01-01,Medium,162125.5,Top
Data Analyst,Startup,Healthcare,Canada,Vancouver,Hybrid,Senior,5.0,152790,177936,Full-time,2020-01-01,Large,165363.0,Top
Data Scientist,MNC,Finance,Germany,Munich,Hybrid,Senior,5.0,153153,177932,Full-time,2020-01-01,Small,165542.5,Top
Data Scientist,Startup,Tech,USA,San Francisco,Hybrid,Senior,5.0,151827,177927,Full-time,2020-01-01,Medium,164877.0,Top
Data Analyst,MNC,Finance,UK,Birmingham,Onsite,Senior,5.0,147300,177925,Full-time,2020-01-01,Large,162612.5,Top
MLOps Engineer,Startup,Tech,USA,Boston,Hybrid,Senior,5.0,146974,177913,Full-time,2020-01-01,Medium,162443.5,Top
Applied Scientist,MNC,Finance,India,Chennai,Onsite,Senior,5.0,146847,177893,Full-time,2020-01-01,Medium,162370.0,Top
Data Scientist,Research Lab,Retail,India,Pune,Hybrid,Senior,5.0,152617,177877,Full-time,2020-01-01,Medium,165247.0,Top
Machine Learning Engineer,Research Lab,Tech,India,Remote,Remote,Senior,5.0,152394,177868,Full-time,2020-01-01,Small,165131.0,Top
