ID,Temperatura,Humedad,Alerta
187,22.89,45.04,1
188,16.99,49.84,3
189,27.64,78.19,3
190,23.58,47.69,1
191,18.29,40.69,3
192,21.81,64.18,2
193,21.84,53.40,3
194,28.94,82.71,1
195,34.86,45.97,2
196,15.60,41.37,1
197,23.37,90.66,1
198,31.81,47.54,1
199,32.46,45.54,3
200,20.14,43.75,3
201,22.20,51.34,2
202,29.39,41.80,3
203,20.06,77.42,1
204,25.49,48.44,2
205,17.79,65.09,2
206,24.50,72.47,2
207,20.03,84.17,3
208,19.49,81.87,3
209,29.61,57.95,3
210,34.85,73.51,2
211,23.10,53.63,1
212,21.67,77.97,1
213,17.00,54.18,2
214,23.08,43.34,1
215,20.20,94.66,2
216,26.11,76.24,3
217,29.43,47.92,1
218,16.19,78.99,3
219,16.73,49.71,2
220,19.74,59.38,2
221,21.19,93.48,3
222,25.06,42.06,3
223,31.04,42.57,2
224,17.64,41.22,2
225,21.51,59.19,2
226,24.59,53.36,2
227,32.49,87.53,2
228,22.19,94.24,1
229,29.13,52.52,3
230,32.67,55.18,2
231,19.46,77.95,1
232,27.18,57.02,1
233,19.34,64.94,1
234,24.15,66.72,3
235,18.11,63.34,3
236,18.04,93.06,1
237,23.32,65.21,2
238,24.00,93.01,3
239,34.54,79.71,1
240,32.50,92.45,2
241,25.03,78.58,1
242,17.62,49.81,1
243,20.10,46.00,3
244,27.03,73.42,2
245,22.31,43.80,2
246,16.54,87.74,3
247,28.29,52.90,3
248,26.59,73.93,3
249,15.12,53.27,3
250,21.52,72.16,2
251,16.13,52.83,1
252,20.67,75.66,3
253,15.54,45.50,2
254,25.01,47.39,1
255,19.56,52.73,3
256,31.68,74.08,1
257,30.68,40.12,2
258,27.13,59.00,1
259,24.07,88.31,1
260,24.49,78.77,3
261,28.65,43.89,2
262,19.64,45.35,1
263,17.35,67.88,3
264,32.25,76.09,3
265,19.36,65.36,1
266,15.84,51.31,2
267,29.72,90.33,2
268,18.40,90.55,3
269,31.42,57.63,3
270,15.76,41.86,2
271,15.43,77.52,3
272,21.23,58.23,1
273,29.62,69.89,3
274,28.03,89.21,3
275,29.93,73.74,2
276,28.36,59.08,2
277,26.48,83.08,3
278,26.84,84.76,2
279,15.26,63.57,1
280,28.94,52.68,3
281,21.16,81.00,2
282,31.91,74.72,1
283,32.98,77.05,3
284,24.50,81.94,1
285,21.06,60.47,1
286,31.63,90.75,2
287,19.93,52.00,2
288,32.87,84.06,2
289,20.90,44.81,3
290,22.87,88.67,3
291,16.93,69.12,3
292,16.01,93.98,3
293,30.12,80.78,1
294,32.45,62.35,3
295,27.91,92.22,2
296,17.70,56.73,1
297,26.09,58.60,3
298,30.81,62.19,1
299,23.47,64.28,3
300,18.95,65.05,3
301,26.83,65.57,1
302,21.09,62.75,3
303,22.29,58.77,2
304,22.82,74.90,1
305,26.86,61.37,3
306,18.20,55.01,1
307,18.69,73.83,3
308,27.74,81.60,2
309,15.46,83.54,3
310,28.72,41.05,1
311,31.02,55.91,1
312,30.66,72.57,1
313,20.78,84.38,2
314,30.73,79.80,3
315,28.38,72.05,2
316,17.53,87.64,2
317,24.26,77.39,1
318,32.86,81.97,3
319,30.02,68.86,3
320,23.07,80.59,3
321,16.09,85.87,2
322,31.44,82.11,2
323,30.54,70.84,3
324,24.23,73.27,1
325,34.11,66.12,3
326,16.70,86.98,1
327,28.45,41.80,3
328,22.43,82.29,3
329,20.69,47.70,2
330,16.23,80.19,1
331,25.21,58.97,3
332,24.70,86.72,2
333,19.32,82.69,2
334,23.93,59.60,1
335,25.32,67.42,3
336,33.68,50.28,1
337,30.29,80.30,3
338,27.89,91.15,3
339,32.16,76.25,1
340,22.72,73.07,2
341,32.92,79.71,2
342,31.24,64.52,2
343,17.74,40.83,1
344,33.30,89.29,3
345,23.87,60.50,1
346,15.41,75.59,3
347,22.53,49.00,2
348,18.93,51.60,2
349,30.47,80.26,2
350,16.09,63.77,3
351,31.05,50.15,3
352,19.71,76.86,1
353,34.23,73.29,1
354,27.53,43.19,2
355,18.38,50.75,1
356,22.47,74.90,2
357,26.40,48.61,1
358,33.99,52.48,3
359,24.88,63.60,1
360,30.78,61.53,2
361,18.91,61.78,1
362,24.53,41.02,2
363,16.65,65.50,1
364,25.63,52.50,1
365,16.35,50.66,2
366,20.28,40.17,1
367,16.47,88.35,2
368,31.70,86.16,1
369,33.47,87.25,1
370,20.33,62.31,3
371,28.83,73.88,2
372,25.27,79.78,3
373,16.34,94.53,1
374,28.06,92.05,3
375,28.67,69.00,3
376,20.06,51.60,1
377,27.28,88.84,2
378,22.48,74.60,1
379,15.26,57.95,3
380,30.34,49.96,2
381,20.02,42.30,2
382,20.02,82.84,2
383,17.38,94.66,3
384,22.29,50.29,3
385,29.68,65.22,1
386,19.18,71.22,1
387,17.44,58.38,3
388,24.83,50.77,1
389,21.92,72.11,1
390,29.31,67.42,3
391,21.18,81.75,1
392,26.55,80.47,1
393,33.08,85.61,2
394,31.79,54.11,1
395,19.88,85.25,1
396,15.53,90.50,1
397,31.37,79.69,2
398,26.80,40.96,1
399,17.47,67.52,1
400,15.53,77.69,1
401,16.58,46.44,3
402,24.21,57.09,1
403,22.40,79.11,1
404,27.83,72.50,1
405,29.61,75.22,1
406,23.40,62.07,1
407,31.55,51.45,3
408,33.99,53.76,2
409,18.22,94.47,1
410,30.43,60.64,1
411,18.43,58.89,1
412,25.62,64.71,1
413,25.40,61.84,1
414,21.35,40.93,2
415,16.68,64.16,1
416,16.73,57.16,1
417,31.72,41.95,2
418,18.83,55.96,2
419,31.75,64.66,2
420,30.44,82.79,2
421,26.03,56.36,2
422,21.07,40.96,1
423,17.11,74.91,3
424,31.40,73.83,1
425,26.47,92.28,1
426,34.19,92.37,2
427,25.15,42.69,3
428,17.26,84.80,3
429,23.43,79.56,1
430,23.99,74.91,1
431,31.12,41.80,2
432,34.94,74.68,2
433,15.09,72.27,3
434,23.68,62.12,3
435,16.36,83.16,1
436,20.61,91.75,2
437,20.34,60.02,3
438,30.62,49.58,1
439,31.69,45.22,2
440,20.81,74.34,3
441,18.36,87.10,1
442,23.99,91.63,1
443,23.72,50.50,3
444,17.45,90.02,3
445,29.62,61.03,3
446,24.24,68.49,1
447,27.11,55.24,2
448,16.79,56.72,2
449,17.74,78.44,3
450,29.11,42.59,2
451,21.74,57.79,3
452,21.26,67.89,3
453,28.74,65.64,2
454,16.76,67.76,1
455,26.00,45.18,1
456,18.50,40.23,2
457,17.56,47.10,2
458,25.89,84.24,2
459,22.34,60.04,3
460,31.48,58.79,3
461,28.31,84.70,1
462,30.43,71.27,2
463,30.41,63.34,2
464,25.29,51.75,2
465,24.15,90.16,1
466,22.69,42.39,3
467,25.62,85.50,2
468,25.07,50.56,3
469,23.76,70.34,3
470,15.40,78.73,2
471,31.43,63.23,3
472,33.63,86.16,3
473,15.82,66.84,1
474,27.67,63.65,1
475,19.65,90.33,3
476,17.60,72.98,3
477,27.17,45.73,3
478,19.66,59.77,3
479,20.78,63.10,1
480,19.00,67.78,1
481,18.36,63.62,1
482,28.87,82.15,3
483,30.86,83.71,3
484,17.61,42.77,3
485,22.81,85.97,1
486,19.78,92.15,3
487,21.84,52.68,3
488,15.73,83.66,2
489,24.42,78.50,3
490,33.84,57.02,1
491,18.76,94.46,2
492,18.60,84.77,2
493,27.29,46.21,2
494,25.69,75.65,2
495,31.31,68.19,2
496,26.68,70.73,1
497,24.08,83.91,1
498,20.11,85.58,3
499,28.41,54.51,2
500,20.26,76.41,1
501,27.06,47.23,1
502,29.42,85.75,2
503,33.59,72.16,2
504,22.90,75.44,3
505,16.06,80.21,1
506,29.02,81.24,2
507,31.05,62.21,1
508,25.82,89.96,2
509,34.90,66.71,1
510,32.15,55.55,3
511,32.68,72.92,1
512,19.96,40.09,3
513,28.93,74.51,3
514,26.19,85.86,2
515,32.34,83.82,1
516,30.06,85.42,2
517,22.65,88.46,2
518,30.37,75.97,3
519,17.47,79.11,1
520,34.41,44.69,3
521,18.25,74.88,2
522,19.02,65.54,2
523,29.44,94.79,2
524,18.04,69.35,3
525,33.09,43.86,3
526,16.23,75.01,2
527,22.68,86.71,1
528,17.90,52.46,3
529,25.07,59.27,2
530,18.84,48.07,1
531,28.65,91.18,1
532,27.01,45.94,2
533,27.72,71.45,2
534,28.80,74.95,2
535,25.89,75.72,3
536,22.34,60.65,3
537,30.85,79.67,3
538,19.13,82.91,2
539,26.30,50.02,2
540,24.59,59.55,3
541,23.52,51.05,3
542,24.45,69.13,1
543,34.11,91.89,1
544,32.19,65.33,1
545,34.14,40.96,1
546,24.95,43.97,1
547,21.23,75.05,1
548,15.42,63.76,3
549,18.61,66.77,2
550,34.22,86.94,3
551,30.55,92.94,2
552,30.49,63.18,2
553,31.67,89.29,2
554,27.84,68.06,1
555,28.54,49.01,1
556,31.07,71.49,2
557,23.02,51.71,2
558,27.31,55.26,2
559,22.44,77.73,3
560,34.68,45.20,2
561,32.65,50.63,3
562,28.28,45.56,1
563,21.70,80.19,3
564,28.13,52.72,2
565,15.13,76.62,3
566,25.30,82.15,3
567,31.37,85.21,1
568,25.32,81.85,2
569,33.25,88.82,3
570,26.57,42.19,2
571,17.79,46.60,3
572,26.85,47.86,3
573,16.24,41.51,2
574,18.57,74.61,3
575,22.47,74.52,3
576,16.40,64.90,3
577,23.25,91.96,2
578,34.80,61.29,2
579,27.35,46.71,3
580,27.42,89.38,2
581,20.51,86.91,1
582,32.42,78.72,3
583,15.82,68.04,3
584,34.25,85.35,3
585,27.60,52.15,2
586,33.81,82.72,1
587,17.28,88.08,2
588,18.91,78.34,2
589,33.15,54.27,2
590,29.20,58.64,1
591,16.79,57.94,2
592,16.03,45.49,3
593,22.64,93.69,2
594,27.81,92.72,3
595,23.72,50.09,2
596,26.25,57.48,1
597,25.37,89.65,1
598,23.91,47.69,3
599,23.57,86.51,3
600,30.60,63.87,1
601,16.39,41.66,2
602,17.51,93.20,2
603,32.81,80.01,2
604,15.19,54.48,1
605,26.67,44.00,1
606,16.97,78.38,3
607,29.28,93.53,1
608,20.03,61.10,3
609,22.62,82.43,2
610,15.56,66.61,2
611,27.88,43.06,2
612,23.10,41.17,1
613,17.01,58.17,1
614,26.27,59.13,2
615,23.77,56.04,2
616,21.63,72.39,1
617,20.24,93.72,3
618,19.68,86.65,1
619,30.49,86.06,2
620,26.43,58.40,1
621,27.88,45.50,3
622,29.89,49.72,1
623,30.14,86.69,3
624,32.28,86.24,3
625,28.04,72.63,2
626,29.69,67.59,3
627,16.25,69.49,1
628,24.09,40.18,3
629,33.34,92.89,3
630,21.76,49.98,2
631,16.25,44.64,2
632,32.30,49.43,1
633,24.74,62.46,1
634,26.60,68.94,3
635,22.68,61.26,1
636,32.17,44.04,1
637,17.86,44.07,1
638,16.32,52.93,2
639,16.39,77.40,2
640,28.08,84.74,3
641,28.42,92.56,3
642,22.36,91.40,3
643,26.37,71.75,2
644,24.24,67.07,2
645,20.85,82.43,3
646,21.51,41.68,2
647,19.60,49.45,2
648,26.27,71.38,2
649,23.03,66.11,3
650,26.82,84.80,1
651,30.59,56.61,1
652,17.67,87.37,2
653,31.80,60.82,2
654,30.90,47.55,2
655,16.39,79.95,1
656,30.57,40.32,1
657,16.80,88.52,1
658,21.27,59.34,1
659,28.52,84.45,3
660,24.74,67.53,2
661,33.80,77.40,1
662,31.44,57.40,1
663,30.91,76.96,2
664,28.63,41.02,2
665,33.79,80.37,1
666,19.14,54.13,3
667,26.21,88.95,2
668,16.81,79.29,3
669,21.14,61.60,2
670,18.68,50.06,3
671,34.69,81.38,1
672,16.81,79.46,1
673,24.09,80.42,1
674,20.06,47.22,2
675,16.49,91.94,2
676,23.75,69.58,1
677,23.38,79.47,2
678,23.59,50.74,1
679,24.27,46.88,1
680,27.48,85.49,3
681,30.34,64.88,1
682,30.24,57.52,1
683,24.34,71.19,3
684,29.82,78.42,2
685,20.58,89.30,2
686,18.01,67.21,3
687,18.00,70.32,1
688,16.08,69.29,2
689,30.34,92.56,2
690,25.20,48.49,1
691,30.72,80.35,2
692,22.70,91.38,1
693,18.28,58.50,1
694,25.41,60.36,3
695,16.74,77.51,1
696,20.75,84.87,1
697,24.35,84.71,3
698,20.86,59.71,1
699,23.57,47.17,1
700,15.05,49.58,2
701,23.34,79.81,2
702,20.77,49.67,2
703,27.71,77.56,2
704,17.78,51.21,3
705,20.30,81.17,2
706,19.13,42.99,1
707,31.82,65.87,3
708,24.22,90.76,1
709,15.25,64.82,1
710,32.10,70.36,1
711,20.57,93.24,2
712,30.75,83.61,2
713,27.70,70.23,2
714,30.45,63.31,2
715,27.45,88.33,1
716,23.08,85.78,3
717,34.57,62.23,2
718,17.81,63.17,2
719,24.45,80.70,1
720,28.22,67.96,3
721,34.72,79.99,1
722,30.02,55.23,3
723,25.55,42.71,1
724,21.77,47.73,3
725,26.59,65.79,2
726,22.63,53.05,3
727,32.28,65.63,3
728,28.83,47.24,2
729,32.85,73.88,2
730,29.44,66.48,2
731,32.20,91.16,2
732,32.87,73.64,3
733,17.88,54.49,1
734,18.30,89.99,1
735,26.26,42.55,2
736,29.53,73.55,1
737,22.51,87.67,3
738,17.32,67.28,2
739,17.83,74.03,3
740,31.92,53.30,2
741,30.93,76.39,3
742,26.85,68.92,1
743,26.24,80.75,2
744,28.53,58.07,2
745,15.07,60.30,2
746,29.52,49.30,1
747,20.03,64.77,2
748,31.56,83.82,3
749,23.71,48.62,2
750,15.80,67.72,1
751,23.34,71.30,2
752,16.98,64.20,3
753,25.99,70.54,3
754,18.33,50.51,2
755,34.72,55.89,3
756,19.54,74.65,1
757,30.42,57.05,2
758,18.15,94.25,1
759,23.56,58.06,3
760,24.64,89.35,1
761,21.50,57.22,2
762,21.10,62.97,3
763,31.36,59.20,2
764,15.09,65.76,3
765,24.87,73.68,1
766,29.75,45.98,1
767,31.36,47.09,3
768,15.05,67.80,1
769,28.91,61.87,2
770,20.48,44.79,1
771,26.04,63.40,3
772,22.33,93.01,1
773,20.88,43.90,1
774,27.91,55.86,2
775,19.33,80.42,2
776,15.97,56.11,3
777,18.74,44.99,2
778,17.05,45.10,2
779,30.09,50.13,1
780,21.75,91.76,1
781,26.82,65.77,1
782,17.00,83.70,1
783,27.51,47.23,1
784,15.53,66.20,3
785,34.03,48.79,1
786,24.87,45.12,2
787,15.05,42.30,1
788,20.22,48.49,1
789,20.58,82.21,1
790,22.01,75.52,1
791,24.24,65.99,3
792,33.82,61.21,2
793,25.55,75.72,3
794,26.36,45.12,3
795,16.06,45.22,2
796,21.22,76.47,3
797,21.79,61.67,2
798,18.11,81.22,1
799,27.05,50.21,2
800,23.95,58.00,1
801,16.86,51.40,2
802,22.86,81.16,1
803,30.18,57.61,2
804,19.27,89.97,3
805,26.72,89.57,3
806,21.87,71.84,1
807,20.12,60.13,1
808,21.12,53.62,3
809,18.87,61.03,3
810,20.59,88.78,3
811,22.01,78.81,3
812,27.84,72.57,2
813,26.34,58.57,1
814,30.26,51.86,1
815,31.75,69.09,2
816,20.76,42.88,3
817,18.00,94.34,1
818,28.71,61.86,2
819,27.67,67.53,3
820,22.78,51.13,3
821,26.18,57.09,1
822,33.14,67.36,3
823,31.58,82.19,1
824,27.55,67.78,2
825,21.19,73.56,1
826,33.63,65.42,2
827,32.29,65.82,3
828,32.74,67.83,2
829,17.71,76.80,3
830,23.56,63.01,3
831,32.93,42.04,2
832,17.58,88.13,1
833,28.57,52.73,1
834,16.04,62.79,2
835,15.32,80.14,1
836,15.84,84.70,3
837,18.16,92.59,2
838,29.78,53.80,3
839,29.98,89.97,1
840,26.48,56.70,3
841,21.22,85.61,1
842,30.88,94.84,1
843,18.89,62.29,3
844,15.17,93.92,1
845,20.91,80.80,1
846,31.29,75.22,1
847,24.18,80.16,1
848,25.48,60.98,3
849,21.71,72.89,1
850,27.83,75.96,1
851,30.26,82.19,2
852,16.73,85.04,1
853,26.16,74.56,2
854,26.43,50.41,1
855,28.60,77.09,2
856,30.27,40.12,1
857,20.49,80.53,2
858,21.70,84.60,3
859,20.29,71.59,2
860,21.83,56.38,3
861,28.34,57.08,2
862,23.36,61.07,3
863,32.22,60.61,1
864,32.20,42.89,3
865,34.39,68.14,2
866,15.66,85.82,3
867,19.70,52.14,2
868,18.89,67.00,2
869,24.53,75.84,2
870,18.20,82.89,2
871,23.63,76.43,3
872,25.34,86.90,3
873,19.58,51.79,3
874,17.74,48.63,2
875,22.77,72.26,3
876,25.72,90.15,1
877,23.28,44.96,3
878,26.18,78.31,2
879,24.69,46.74,1
880,33.58,84.68,3
881,25.00,49.46,2
882,23.46,48.20,3
883,21.81,63.56,1
884,28.98,61.08,2
885,24.50,58.46,3
886,21.18,78.34,2
887,25.11,71.49,3
888,26.32,57.45,1
889,27.44,53.02,1
890,25.13,40.33,3
891,29.00,43.37,2
892,17.34,66.44,2
893,30.46,57.90,2
894,17.13,60.66,1
895,26.70,49.25,1
896,31.29,49.24,3
897,18.28,81.00,2
898,21.53,62.80,2
899,28.64,42.11,3
900,25.69,74.16,3
901,16.09,55.01,1
902,25.39,80.80,1
903,23.34,91.34,3
904,21.04,69.89,3
905,32.79,45.13,1
906,32.81,71.33,3
907,24.87,46.08,2
908,18.54,88.83,3
909,16.60,76.47,2
910,26.96,60.81,3
911,16.01,59.59,2
912,17.66,51.65,2
913,19.85,53.12,2
914,25.10,92.94,2
915,28.13,72.62,1
916,24.09,72.35,3
917,32.34,81.97,2
918,22.40,52.26,1
919,19.86,42.27,3
920,33.47,71.24,3
921,18.84,51.59,1
922,29.20,40.40,2
923,21.88,80.44,2
924,21.16,43.22,2
925,16.66,41.45,2
926,29.75,42.31,3
927,27.81,90.09,1
928,23.80,42.14,3
929,17.55,72.77,1
930,17.17,57.20,3
931,31.37,76.27,3
932,22.54,56.35,3
933,19.94,70.57,2
934,25.57,53.09,1
935,26.93,61.86,1
936,24.24,76.76,2
937,19.69,73.11,3
938,31.24,66.58,3
939,16.59,86.94,3
940,21.49,55.90,2
941,15.96,69.38,1
942,28.84,61.71,2
943,24.04,82.82,2
944,20.77,64.73,2
945,21.88,94.34,3
946,20.22,78.66,2
947,32.50,89.81,1
948,22.50,43.71,2
949,15.29,60.29,2
950,24.53,51.29,3
951,20.30,90.22,2
952,23.73,56.00,3
953,24.40,88.65,2
954,27.82,58.75,2
955,16.34,62.64,3
956,17.32,57.13,1
957,33.71,50.72,2
958,30.70,90.69,1
959,29.23,70.54,2
960,20.31,67.41,3
961,25.82,89.77,2
962,21.04,60.17,3
963,33.40,71.17,3
964,15.12,89.19,2
965,15.26,64.36,3
966,25.39,79.23,3
967,23.57,57.27,2
968,34.32,50.88,1
969,20.70,71.54,3
970,15.26,76.79,2
971,32.64,67.77,2
972,34.00,45.55,3
973,30.80,78.71,2
974,18.06,77.66,3
975,32.33,91.30,1
976,19.15,70.69,1
977,32.24,56.50,2
978,15.33,44.01,1
979,29.27,52.01,2
980,31.19,81.14,2
981,31.76,81.26,1
982,28.53,69.60,3
983,23.45,81.70,1
984,33.41,87.27,1
985,34.08,59.06,2
986,30.10,51.29,3
987,25.75,79.10,2
988,33.06,51.08,3
989,22.01,94.09,2
990,17.01,41.32,1
991,27.83,54.45,1
992,28.96,63.08,2
993,28.50,41.28,3
994,30.43,55.57,1
995,21.73,83.62,2
996,17.03,51.99,2
997,15.16,48.79,2
998,29.29,68.38,3
999,27.00,94.10,1
1000,26.08,76.45,2
1001,28.71,72.78,2
1002,30.60,44.10,3
1003,27.32,77.61,2
1004,34.83,46.86,1
1005,19.18,82.39,1
1006,23.88,68.04,1
1007,31.24,82.96,3
1008,27.39,59.41,2
1009,21.14,76.28,2
1010,16.11,81.98,1
1011,33.30,45.59,3
1012,28.11,42.66,1
1013,22.44,62.93,3
1014,25.46,41.34,1
1015,31.03,57.34,3
1016,33.96,90.70,1
1017,21.88,66.19,3
1018,23.81,92.83,2
1019,20.41,69.88,3
1020,28.90,65.49,3
1021,28.76,90.45,3
1022,34.17,42.05,2
1023,19.27,53.80,3
1024,26.66,55.13,1
1025,32.87,71.32,1
1026,34.13,70.80,3
1027,23.00,71.15,1
1028,26.83,40.60,1
1029,34.46,51.24,1
1030,20.48,48.01,2
1031,26.04,81.18,2
1032,25.00,52.19,2
1033,16.23,91.39,2
1034,15.88,68.99,1
1035,24.60,56.24,1
1036,31.55,59.01,2
1037,25.05,83.40,2
1038,22.81,81.30,3
1039,26.63,58.07,1
1040,19.54,47.60,3
1041,15.38,86.37,3
1042,29.29,88.89,1
1043,32.81,45.01,2
1044,21.57,85.47,3
1045,30.38,76.25,3
1046,24.80,89.18,1
1047,34.76,81.60,1
1048,25.96,45.28,3
1049,26.38,59.50,3
1050,24.74,40.67,3
1051,17.21,60.53,3
1052,28.83,72.14,3
1053,23.88,54.19,2
1054,21.70,45.37,2
1055,21.84,86.49,3
1056,15.04,57.51,3
1057,24.06,46.24,2
1058,17.48,73.29,2
1059,18.54,64.59,3
1060,30.97,56.49,1
1061,23.31,51.94,1
1062,17.30,69.35,2
1063,27.05,74.81,1
1064,24.71,80.65,2
1065,16.11,86.14,1
1066,24.40,49.52,2
1067,28.17,72.90,2
1068,34.98,87.20,3
1069,30.74,83.85,3
1070,28.25,45.02,1
1071,15.21,49.07,3
1072,32.08,92.51,1
1073,17.49,67.97,2
1074,31.54,76.41,3
1075,32.72,94.37,2
1076,31.88,71.53,1
1077,17.20,50.83,1
1078,22.36,68.98,3
1079,27.42,56.53,3
1080,34.88,52.62,3
1081,21.57,42.41,3
1082,30.44,84.35,2
1083,24.12,65.85,3
1084,29.76,72.00,2
1085,23.85,90.99,2
1086,15.54,76.13,2
1087,19.32,50.19,3
1088,27.89,53.78,2
1089,21.93,58.51,3
1090,19.50,61.17,2
1091,31.29,75.01,1
1092,25.45,64.30,2
1093,19.66,56.63,3
1094,25.98,73.70,2
1095,26.24,58.26,2
1096,32.19,42.81,1
1097,24.80,53.31,3
1098,25.85,73.19,1
1099,28.61,61.50,1
1100,23.06,77.47,3
1101,29.88,85.33,3
1102,18.65,70.40,2
1103,16.31,93.29,2
1104,17.14,81.80,2
1105,33.03,63.74,3
1106,20.54,66.88,3
1107,25.89,60.46,2
1108,25.56,61.96,2
1109,29.02,74.12,3
1110,22.81,59.97,2
1111,25.14,88.23,1
1112,34.10,65.28,3
1113,18.77,81.62,3
1114,28.66,54.66,2
1115,22.91,69.65,2
1116,22.06,69.83,2
1117,25.15,91.77,3
1118,34.11,81.88,2
1119,31.32,47.41,3
1120,24.05,83.77,3
1121,22.19,76.94,1
1122,28.65,85.71,2
1123,24.84,90.04,2
1124,26.60,40.15,2
1125,17.13,52.79,1
1126,28.11,59.30,3
1127,26.85,42.47,1
1128,22.38,87.92,1
1129,28.58,47.55,1
1130,20.11,83.81,2
1131,28.88,69.41,1
1132,15.71,43.06,2
1133,19.71,60.21,3
1134,18.40,46.26,3
1135,15.04,51.71,1
1136,25.57,68.83,2
1137,29.12,49.76,1
1138,19.51,88.95,3
1139,33.67,81.18,3
1140,18.79,61.32,1
1141,32.76,87.54,2
1142,15.42,69.24,1
1143,31.71,71.34,3
1144,16.29,71.72,2
1145,34.57,40.51,1
1146,23.26,52.94,2
1147,19.55,43.45,2
1148,29.40,42.36,1
1149,28.26,66.49,2
1150,18.12,50.04,3
