Edad conductor,Experiencia conductor,Accidentes previos,Kilometraje anual,Fabricacion coche,Edad coche,Seguro Premium,Sexo
52,4,4,20,2016,9,496.3,Mujer
31,13,4,21,2019,6,497.55,Hombre
21,3,4,11,2021,4,501.85,Hombre
23,5,4,22,2014,11,502.1,Mujer
31,13,4,12,1998,27,499.2,Hombre
48,30,4,13,2021,4,488.45,Hombre
32,14,4,18,1997,28,499.1,Mujer
62,5,4,22,1992,33,496.5,Mujer
35,5,4,11,2018,7,498.75,Mujer
62,28,4,13,2002,23,488.15,Mujer
46,28,4,20,2012,13,490.7,Mujer
42,24,4,25,1998,27,494.35,Mujer
34,9,4,24,2006,19,499.6,Mujer
58,23,4,23,2002,23,490.95,Hombre
26,7,4,13,2020,5,499.85,Hombre
52,34,4,18,2000,25,488.8,Mujer
39,4,4,24,2023,2,498.4,Mujer
18,0,4,18,2010,15,504.8,Mujer
31,12,4,11,2019,6,497.35,Mujer
32,14,4,20,1997,28,499.2,Hombre
60,21,4,23,2000,25,491.35,Hombre
39,21,4,22,2015,10,494.0,Hombre
59,0,4,22,2018,7,496.0,Mujer
37,19,4,15,2002,23,495.95,Mujer
47,29,4,23,1997,28,491.85,Mujer
18,0,4,11,2006,19,504.85,Mujer
56,26,4,21,2011,14,489.45,Mujer
49,27,4,22,2011,14,490.6,Mujer
58,16,4,19,1992,33,493.85,Mujer
40,12,4,24,2018,7,496.3,Hombre
36,18,4,21,2019,6,495.05,Mujer
43,25,4,15,2016,9,491.55,Mujer
34,13,4,13,2009,16,497.55,Hombre
36,18,4,18,1994,31,497.4,Mujer
43,25,4,22,2000,25,493.5,Hombre
20,2,4,16,2010,15,503.7,Mujer
28,7,4,15,2012,13,500.35,Hombre
48,23,4,19,1997,28,493.25,Mujer
43,20,4,22,2024,1,492.6,Hombre
22,4,4,13,2023,2,501.25,Hombre
52,18,4,12,1992,33,494.1,Mujer
37,0,4,18,2020,5,500.0,Hombre
41,10,4,16,1996,29,498.5,Hombre
58,31,4,13,2010,15,487.25,Mujer
37,19,4,23,1998,27,496.75,Hombre
47,17,4,11,2014,11,493.15,Hombre
22,4,4,15,2002,23,503.45,Hombre
46,16,4,17,1992,33,496.15,Hombre
46,25,4,21,2007,18,492.15,Hombre
63,28,4,23,2008,17,487.85,Mujer
52,10,4,24,2003,22,496.0,Hombre
50,32,4,13,2013,12,488.25,Hombre
59,21,4,23,2022,3,489.35,Mujer
63,19,4,23,2016,9,489.75,Hombre
64,16,4,20,2002,23,491.7,Mujer
43,25,4,21,2009,16,492.55,Hombre
59,36,4,14,1992,33,487.4,Mujer
30,12,4,24,1997,28,500.4,Hombre
40,16,4,11,2017,8,494.55,Hombre
51,15,4,20,2022,3,492.6,Mujer
39,11,4,25,1993,32,499.35,Hombre
23,5,4,20,2009,16,502.5,Hombre
61,16,4,24,2008,17,491.9,Hombre
61,22,4,12,2018,7,488.5,Hombre
56,20,4,16,2018,7,490.3,Hombre
47,6,4,13,2015,10,496.45,Hombre
57,22,4,21,2006,19,490.95,Mujer
59,30,4,23,1994,31,489.45,Hombre
36,18,4,13,1994,31,497.15,Mujer
34,16,4,24,2007,18,497.4,Hombre
43,16,4,11,2016,9,494.05,Hombre
54,13,4,19,2001,24,494.65,Mujer
43,25,4,24,1996,29,494.0,Hombre
26,8,4,13,1999,26,501.65,Hombre
29,11,4,21,2023,2,498.15,Mujer
42,14,4,15,2011,14,495.55,Hombre
62,28,4,11,2016,9,486.65,Mujer
33,15,4,16,2023,2,495.9,Mujer
39,12,4,12,1992,33,498.5,Mujer
45,27,4,23,2016,9,490.95,Mujer
64,38,4,19,1998,27,485.45,Mujer
38,4,4,13,2008,17,499.55,Mujer
40,3,4,17,2010,15,499.45,Mujer
18,0,4,11,1996,29,505.85,Hombre
62,36,4,17,2025,0,483.65,Mujer
41,23,4,22,1999,26,494.6,Hombre
33,15,4,15,2025,0,495.65,Hombre
44,24,4,18,1995,30,493.9,Hombre
52,19,4,14,2024,1,490.7,Hombre
50,9,4,23,2014,11,495.55,Hombre
30,12,4,11,2012,13,498.25,Mujer
29,11,4,11,2021,4,497.85,Mujer
27,8,4,20,2014,11,500.3,Hombre
65,33,4,20,1991,34,487.5,Hombre
53,23,4,13,2025,0,489.15,Hombre
39,21,4,14,2010,15,494.1,Hombre
58,5,4,23,2010,15,495.55,Hombre
36,12,4,16,1990,35,499.5,Mujer
64,24,4,14,1993,32,489.9,Mujer
22,4,4,15,2016,9,502.05,Hombre
31,13,4,20,2010,15,498.4,Mujer
48,1,4,12,1998,27,499.4,Mujer
40,22,4,20,2011,14,493.8,Hombre
46,11,4,11,1994,31,497.15,Hombre
26,8,4,22,1992,33,502.8,Mujer
34,16,4,14,1998,27,497.8,Mujer
55,33,4,13,2018,7,486.45,Mujer
59,29,4,23,2006,19,488.55,Hombre
22,4,4,12,2007,18,502.8,Hombre
25,7,4,11,2006,19,501.35,Hombre
53,11,4,15,2008,17,494.55,Mujer
44,25,4,11,2022,3,490.55,Mujer
20,2,4,15,2015,10,503.15,Mujer
61,16,4,18,1996,29,492.8,Mujer
62,40,4,24,2014,11,483.9,Mujer
53,1,4,20,2014,11,497.2,Hombre
36,18,4,22,1998,27,497.2,Hombre
35,10,4,16,2018,7,497.5,Hombre
20,2,4,11,2008,17,503.65,Hombre
29,11,4,25,2000,25,500.65,Mujer
33,0,4,19,1991,34,503.75,Mujer
44,7,4,23,1992,33,499.55,Hombre
30,12,4,14,2000,25,499.6,Mujer
46,19,4,11,2016,9,492.55,Hombre
18,0,4,17,2008,17,504.95,Hombre
58,32,4,12,2010,15,486.9,Hombre
38,7,4,13,2011,14,498.35,Hombre
34,16,4,24,2005,20,497.6,Hombre
40,21,4,20,1999,26,495.3,Mujer
27,9,4,24,2006,19,501.0,Mujer
34,16,4,13,1991,34,498.45,Hombre
30,12,4,15,1992,33,500.45,Hombre
21,3,4,23,2019,6,502.65,Hombre
18,0,4,18,1990,35,506.8,Hombre
51,33,4,22,2017,8,487.8,Hombre
48,30,4,25,2002,23,490.95,Mujer
56,10,4,23,2010,15,494.45,Mujer
47,11,4,22,2022,3,494.7,Hombre
46,28,4,12,2020,5,489.5,Hombre
22,4,4,17,2004,21,503.35,Mujer
64,14,4,16,2011,14,491.2,Hombre
25,7,4,11,2021,4,499.85,Hombre
57,19,4,24,2024,1,490.2,Hombre
42,3,4,23,2005,20,499.85,Hombre
20,2,4,15,1999,26,504.75,Mujer
38,20,4,25,2008,17,495.35,Hombre
45,27,4,17,2014,11,490.85,Mujer
23,5,4,14,2013,12,501.8,Hombre
51,33,4,12,2001,24,488.9,Hombre
31,13,4,22,1993,32,500.2,Hombre
25,1,4,17,1999,26,504.15,Mujer
52,34,4,25,2011,14,488.05,Mujer
31,4,4,19,2011,14,500.95,Mujer
63,13,4,12,2019,6,490.7,Mujer
32,14,4,18,1991,34,499.7,Mujer
34,0,4,23,2011,14,501.75,Hombre
25,4,4,13,2019,6,501.05,Hombre
51,33,4,21,1996,29,489.85,Hombre
62,30,4,19,2023,2,485.75,Hombre
28,10,4,11,1997,28,500.75,Hombre
53,17,4,19,2015,10,492.25,Hombre
23,5,4,13,2020,5,501.05,Hombre
28,10,4,25,2013,12,499.85,Mujer
25,4,4,12,2024,1,500.5,Mujer
43,25,4,24,2012,13,492.4,Mujer
61,27,4,22,1990,35,490.3,Hombre
56,37,3,14,1998,27,485.6,Mujer
41,2,3,24,2012,13,498.2,Mujer
42,10,3,12,2002,23,496.0,Hombre
33,15,3,19,2013,12,495.55,Mujer
38,20,3,22,2024,1,492.1,Hombre
64,36,3,12,2001,24,483.9,Hombre
57,3,3,16,1996,29,495.9,Hombre
59,39,3,21,2022,3,482.35,Mujer
21,3,3,24,1996,29,503.5,Mujer
51,33,3,14,2002,23,487.4,Mujer
25,7,3,22,2022,3,498.8,Hombre
40,13,3,17,2014,11,494.55,Mujer
33,15,3,14,1993,32,497.3,Hombre
58,32,3,14,2004,21,486.1,Mujer
32,14,3,19,2015,10,495.85,Hombre
24,6,3,25,1994,31,502.25,Mujer
18,0,3,19,2000,25,504.35,Hombre
25,4,3,14,2015,10,500.0,Hombre
59,30,3,13,2008,17,486.05,Hombre
29,11,3,16,2000,25,498.7,Mujer
51,3,3,21,1990,35,497.95,Mujer
50,11,3,21,2013,12,493.45,Mujer
54,35,3,12,2009,16,485.4,Hombre
54,36,3,13,1995,30,486.55,Mujer
43,11,3,16,2022,3,493.7,Mujer
49,4,3,19,2002,23,496.75,Mujer
56,36,3,13,2000,25,485.65,Hombre
40,22,3,13,1993,32,493.75,Mujer
30,0,3,25,2008,17,501.45,Mujer
23,5,3,25,2006,19,501.55,Hombre
26,6,3,21,2017,8,499.35,Hombre
59,32,3,19,2013,12,485.25,Mujer
41,6,3,12,2018,7,495.8,Mujer
56,38,3,24,1999,26,485.7,Mujer
45,27,3,23,2014,11,489.65,Hombre
49,22,3,24,1992,33,492.6,Hombre
18,0,3,13,2009,16,503.15,Mujer
19,1,3,24,2024,1,501.7,Mujer
28,0,3,15,2018,7,500.35,Hombre
39,0,3,23,2015,10,498.85,Mujer
33,9,3,11,2006,19,497.65,Hombre
20,2,3,23,2023,2,501.25,Hombre
53,22,3,25,1993,32,491.75,Mujer
50,22,3,13,1996,29,491.45,Hombre
56,36,3,14,1994,31,486.3,Hombre
35,2,3,23,2010,15,499.55,Hombre
45,27,3,13,2009,16,489.65,Mujer
47,13,3,23,2008,17,494.05,Mujer
59,31,3,13,2017,8,484.85,Hombre
65,13,3,22,1990,35,492.2,Mujer
54,32,3,16,2018,7,485.6,Hombre
26,8,3,12,2013,12,498.7,Mujer
65,28,3,17,2012,13,485.25,Mujer
65,37,3,20,2025,0,481.4,Mujer
42,24,3,13,2012,13,490.85,Hombre
33,15,3,11,2011,14,495.35,Mujer
53,16,3,18,2010,15,491.5,Hombre
21,3,3,13,2005,20,502.05,Mujer
39,21,3,21,2014,11,492.55,Hombre
38,20,3,21,1990,35,495.45,Hombre
21,3,3,11,2009,16,501.55,Mujer
63,25,3,19,2015,10,486.35,Hombre
38,10,3,11,2003,22,496.65,Hombre
40,22,3,22,1993,32,494.2,Mujer
20,2,3,22,2018,7,501.7,Mujer
35,17,3,18,2008,17,495.0,Mujer
42,23,3,18,1995,30,493.1,Mujer
20,2,3,23,1990,35,504.55,Mujer
41,18,3,11,2005,20,493.45,Mujer
44,1,3,15,2005,20,498.15,Mujer
53,16,3,25,2001,24,492.75,Hombre
25,7,3,13,2001,24,500.45,Mujer
33,7,3,22,1995,30,499.9,Hombre
31,13,3,18,2022,3,495.6,Mujer
32,14,3,11,2003,22,496.65,Mujer
45,27,3,22,1994,31,491.6,Mujer
19,1,3,13,2008,17,502.75,Hombre
49,7,3,25,2011,14,495.25,Hombre
40,22,3,19,1994,31,493.95,Hombre
39,14,3,23,2022,3,493.95,Mujer
54,9,3,21,2012,13,493.35,Mujer
18,0,3,11,2014,11,502.55,Mujer
49,22,3,20,2013,12,490.3,Hombre
57,3,3,24,2015,10,494.4,Hombre
56,12,3,19,2016,9,491.55,Mujer
39,21,3,18,2008,17,493.0,Hombre
46,15,3,19,2009,16,493.35,Mujer
54,12,3,21,2011,14,492.55,Mujer
65,19,3,13,1990,35,489.95,Hombre
54,29,3,25,2011,14,487.65,Hombre
27,9,3,18,2011,14,498.7,Hombre
49,23,3,22,1993,32,492.1,Mujer
21,3,3,12,2008,17,501.7,Hombre
50,28,3,13,2010,15,488.25,Hombre
29,11,3,12,1993,32,499.2,Hombre
18,0,3,13,1998,27,504.25,Mujer
27,9,3,25,2008,17,499.35,Mujer
40,22,3,14,1992,33,493.9,Mujer
51,33,3,23,2008,17,487.25,Hombre
24,6,3,15,2002,23,500.95,Mujer
54,14,3,21,2017,8,491.35,Mujer
26,8,3,24,2022,3,498.4,Hombre
35,14,3,12,2004,21,496.0,Mujer
42,4,3,23,2013,12,497.25,Mujer
37,19,3,13,1992,33,495.35,Mujer
42,24,3,16,1990,35,493.2,Mujer
30,12,3,12,2018,7,496.2,Mujer
45,27,3,14,2024,1,488.2,Hombre
38,20,3,12,2013,12,492.7,Mujer
56,17,3,13,2022,3,489.15,Mujer
60,38,3,15,2012,13,483.15,Mujer
29,11,3,15,2005,20,498.15,Mujer
44,9,3,23,1991,34,497.55,Hombre
36,18,3,23,2019,6,493.65,Mujer
18,0,3,12,1999,26,504.1,Mujer
43,13,3,14,2008,17,494.4,Mujer
36,18,3,16,1992,33,496.0,Mujer
37,19,3,21,1990,35,495.95,Mujer
45,25,3,21,1996,29,491.95,Hombre
49,12,3,19,2006,19,493.95,Mujer
64,38,3,20,1992,33,484.6,Hombre
38,14,3,22,2004,21,495.9,Mujer
32,14,3,14,2003,22,496.8,Hombre
48,28,3,16,2018,7,488.0,Hombre
33,15,3,24,1991,34,498.0,Hombre
28,5,3,17,1992,33,501.55,Mujer
55,14,3,12,1997,28,492.7,Mujer
29,11,3,11,2011,14,497.35,Hombre
43,14,3,22,2007,18,494.6,Mujer
25,7,3,13,1991,34,501.45,Mujer
34,14,3,13,2008,17,495.85,Mujer
45,23,3,23,2020,5,490.25,Hombre
30,12,3,11,2019,6,496.05,Mujer
22,4,3,16,2023,2,499.9,Mujer
19,1,3,15,2025,0,501.15,Mujer
22,4,3,23,2006,19,501.95,Mujer
28,10,3,16,1998,27,499.4,Hombre
38,17,3,21,2017,8,493.65,Mujer
44,26,3,20,2005,20,490.9,Hombre
18,0,3,18,2025,0,501.8,Mujer
57,25,3,18,2019,6,487.1,Hombre
25,7,3,11,2016,9,498.85,Mujer
51,33,3,12,2011,14,486.4,Hombre
47,5,3,24,2012,13,496.1,Mujer
40,22,3,16,2001,24,493.1,Hombre
32,11,3,21,2022,3,496.15,Mujer
54,7,3,13,2017,8,493.05,Mujer
31,13,3,13,1990,35,498.55,Mujer
28,6,3,22,1995,30,501.2,Mujer
51,15,3,12,2024,1,490.5,Hombre
47,25,3,21,2014,11,489.75,Hombre
44,26,3,12,1996,29,491.4,Hombre
34,16,3,22,2009,16,495.6,Mujer
21,3,3,20,2016,9,501.3,Mujer
34,16,3,18,1999,26,496.4,Hombre
51,33,3,13,2005,20,487.05,Hombre
28,10,3,21,2024,1,497.05,Hombre
48,11,3,15,2013,12,493.55,Hombre
22,1,3,11,1991,34,503.75,Mujer
18,0,3,18,2000,25,504.3,Hombre
62,35,3,14,2014,11,483.4,Mujer
19,1,3,11,2006,19,502.85,Hombre
43,25,3,19,2003,22,491.55,Hombre
60,15,3,16,1992,33,492.1,Hombre
62,28,3,11,2015,10,485.25,Mujer
55,11,3,18,2002,23,493.4,Hombre
54,4,3,16,2025,0,493.3,Mujer
45,19,3,15,2015,10,491.55,Mujer
43,25,3,19,2018,7,490.05,Hombre
21,3,3,22,2005,20,502.5,Hombre
58,8,3,12,2013,12,492.3,Mujer
64,25,3,23,2009,16,486.95,Hombre
36,11,3,20,2006,19,496.9,Hombre
58,23,3,20,2018,7,487.7,Hombre
54,33,3,23,2008,17,486.65,Hombre
43,25,3,22,2023,2,489.7,Mujer
38,15,3,17,2004,21,495.35,Hombre
23,5,3,15,2009,16,500.75,Mujer
65,0,3,21,1997,28,495.35,Mujer
57,9,3,19,2021,4,491.75,Mujer
41,16,3,15,2011,14,493.65,Hombre
19,1,3,13,2007,18,502.85,Mujer
47,0,3,17,2017,8,496.75,Mujer
23,5,3,22,2020,5,500.0,Mujer
43,8,3,17,2023,2,494.55,Mujer
38,13,2,11,1998,27,494.75,Mujer
57,5,2,15,1998,27,493.55,Mujer
61,12,2,14,1992,33,491.2,Hombre
55,1,2,12,1995,30,495.3,Mujer
45,27,2,22,2002,23,489.3,Mujer
24,6,2,22,1999,26,500.1,Hombre
35,17,2,15,2006,19,493.55,Hombre
21,0,2,22,2001,24,502.3,Mujer
45,27,2,14,2009,16,488.2,Mujer
46,28,2,25,2001,24,489.05,Mujer
27,9,2,23,1996,29,498.95,Hombre
53,22,2,12,2025,0,486.4,Mujer
65,24,2,18,2000,25,486.2,Hombre
57,39,2,16,1997,28,483.5,Hombre
38,20,2,19,2011,14,491.75,Mujer
41,6,2,17,2023,2,494.05,Mujer
18,0,2,16,2015,10,501.2,Mujer
26,8,2,15,2021,4,496.55,Hombre
22,4,2,19,1999,26,500.95,Hombre
57,26,2,16,2016,9,485.5,Mujer
32,14,2,24,2018,7,494.3,Hombre
30,3,2,16,2000,25,499.4,Mujer
54,8,2,20,2005,20,492.8,Mujer
53,22,2,24,2007,18,488.8,Mujer
62,39,2,13,2023,2,479.75,Mujer
45,20,2,14,2005,20,490.7,Hombre
50,32,2,19,1990,35,487.85,Hombre
30,12,2,14,2013,12,495.3,Mujer
44,24,2,19,2025,0,487.95,Mujer
50,23,2,24,2010,15,488.8,Hombre
19,1,2,16,2025,0,499.7,Mujer
34,16,2,25,2023,2,492.85,Hombre
61,28,2,12,2024,1,483.1,Hombre
49,18,2,15,2006,19,490.45,Mujer
41,23,2,11,2007,18,490.25,Hombre
50,2,2,11,2000,25,495.45,Hombre
57,32,2,16,2003,22,485.0,Hombre
42,24,2,16,2004,21,490.3,Hombre
25,2,2,19,2009,16,499.95,Mujer
37,4,2,22,2017,8,496.3,Hombre
52,34,2,16,2001,24,485.6,Hombre
63,23,2,11,2016,9,484.95,Mujer
19,1,2,23,2025,0,500.05,Mujer
25,7,2,23,2006,19,498.95,Hombre
29,11,2,18,1993,32,498.0,Hombre
55,20,2,20,2025,0,487.0,Hombre
62,40,2,15,2013,12,480.55,Mujer
44,26,2,11,2004,21,489.05,Mujer
23,5,2,17,2004,21,499.85,Mujer
52,27,2,23,2025,0,485.65,Hombre
39,21,2,17,2024,1,489.85,Hombre
59,8,2,18,1999,26,492.3,Hombre
19,1,2,19,2014,11,500.95,Mujer
34,16,2,24,2020,5,493.1,Mujer
56,34,2,11,1996,29,485.05,Mujer
52,34,2,12,2008,17,484.7,Hombre
41,11,2,14,2005,20,494.2,Hombre
18,0,2,15,2016,9,501.05,Hombre
32,14,2,12,1996,29,495.9,Mujer
60,31,2,13,2004,21,484.45,Hombre
49,14,2,22,1997,28,492.9,Mujer
64,39,2,23,2005,20,481.65,Hombre
65,38,2,15,1999,26,481.95,Hombre
29,11,2,22,1991,34,498.4,Hombre
22,4,2,21,2025,0,498.45,Mujer
51,0,2,21,2019,6,494.45,Mujer
22,4,2,18,1998,27,501.0,Mujer
45,12,2,14,2021,4,491.5,Hombre
37,6,2,11,2006,19,496.25,Mujer
41,3,2,11,1999,26,497.05,Mujer
20,2,2,22,2018,7,500.2,Hombre
50,4,2,21,2016,9,493.75,Hombre
57,4,2,25,2015,10,492.65,Mujer
60,8,2,21,2017,8,490.45,Mujer
61,34,2,24,2006,19,483.7,Mujer
27,9,2,14,1999,26,498.2,Mujer
41,23,2,16,1998,27,491.4,Mujer
49,7,2,21,2007,18,493.95,Mujer
30,12,2,15,2011,14,495.55,Mujer
36,18,2,22,1994,31,494.6,Hombre
36,18,2,23,1996,29,494.45,Hombre
53,22,2,23,2014,11,488.05,Mujer
56,29,2,21,1994,31,487.25,Mujer
28,1,2,24,2006,19,500.2,Mujer
64,12,2,22,2012,13,489.0,Mujer
61,39,2,17,2011,14,481.35,Hombre
63,34,2,22,2002,23,483.6,Hombre
57,18,2,18,2012,13,488.4,Hombre
65,28,2,13,2021,4,482.65,Hombre
39,19,2,18,2025,0,490.4,Mujer
42,3,2,18,2017,8,495.4,Hombre
48,16,2,15,2017,8,490.15,Hombre
36,9,2,18,2013,12,495.2,Hombre
42,24,2,17,2002,23,490.55,Mujer
50,32,2,22,1994,31,487.6,Hombre
23,3,2,11,1992,33,501.35,Hombre
28,10,2,13,2015,10,496.05,Mujer
49,2,2,21,2007,18,495.45,Hombre
53,17,2,12,2017,8,488.7,Hombre
