FECHA;DIA;Co01TMax;Co01HTMax;Co01TMin;Co01HTMin;Co01TMed;Co01HumMax;Co01HumMin;Co01HumMed;Co01VelViento;Co01VelVientoMax;Co01DirViento;Co01Rad;Co01Precip;Co01ETo
14/04/26;104;21.0;15:12;3.4;5:58;12.5;96.5;34.2;69.2;1.2;5.2;291.1;20.5;0.0;3.4
13/04/26;103;16.4;14:00;5.4;5:46;10.7;87.2;29.9;56.3;4.7;10.9;314.9;18.8;0.0;4.1
12/04/26;102;18.1;14:38;7.6;6:40;12.7;88.0;24.6;60.5;4.5;11.7;303.3;16.8;0.0;4.4
11/04/26;101;22.8;15:28;10.6;7:16;16.3;95.0;37.1;71.9;1.7;7.7;304.3;11.3;1.2;3.0
10/04/26;100;27.4;14:18;7.9;6:14;17.9;96.6;23.3;61.7;2.1;12.9;145.5;16.0;0.0;4.6
09/04/26;99;25.2;16:32;8.0;4:32;15.3;97.0;37.6;73.8;1.4;4.5;347.7;17.0;0.0;3.6
08/04/26;98;12.9;15:34;8.4;19:52;10.1;97.0;78.0;92.0;1.6;5.8;149.6;6.4;7.6;1.3
07/04/26;97;22.7;11:58;12.0;23:50;16.4;95.8;33.4;63.2;3.1;9.5;159.8;14.2;9.6;4.0
06/04/26;96;26.3;15:00;5.6;6:08;16.9;84.7;17.6;48.2;1.5;6.9;168.3;20.9;0.0;4.4
05/04/26;95;26.1;15:36;4.1;5:38;15.7;84.6;18.8;47.7;1.1;6.8;143.9;21.9;0.0;4.1
04/04/26;94;25.2;15:16;2.9;5:20;14.6;93.3;21.6;53.5;0.9;5.6;163.7;21.8;0.0;3.7
03/04/26;93;22.2;14:56;1.6;6:12;13.0;89.7;17.2;49.4;1.3;5.0;334.2;21.5;0.0;3.8
02/04/26;92;22.2;15:30;2.8;6:32;12.7;93.2;17.4;54.5;1.5;6.4;289.1;21.6;0.0;3.9
01/04/26;91;21.2;16:16;6.4;23:52;13.8;81.8;26.6;46.5;2.6;8.5;21.5;21.5;0.0;4.4
31/03/26;90;23.6;15:46;5.4;5:44;15.1;87.8;24.5;49.6;2.2;8.0;14.8;21.5;0.0;4.5
30/03/26;89;18.3;16:42;1.5;5:20;9.8;79.6;25.2;43.7;1.9;7.5;32.4;21.1;0.0;3.6
29/03/26;88;15.8;14:16;5.2;6:24;10.5;71.5;26.3;43.4;2.9;9.3;22.7;20.3;0.0;3.8
28/03/26;87;20.1;15:44;1.6;6:10;11.8;95.4;24.4;56.8;1.9;6.3;19.1;20.8;0.0;3.7
27/03/26;86;18.4;16:24;5.2;6:44;11.8;86.5;27.9;46.4;1.7;6.1;24.7;20.8;0.0;3.4
26/03/26;85;21.0;14:06;4.5;6:00;12.8;96.3;20.6;54.9;1.7;6.7;25.3;19.5;0.2;3.6
25/03/26;84;21.5;14:22;3.3;5:58;11.8;97.8;26.7;71.0;0.8;4.9;340.8;17.2;0.0;2.8
24/03/26;83;19.9;15:12;5.2;5:56;12.3;96.6;37.4;74.9;0.9;4.3;129.9;14.7;0.0;2.5
23/03/26;82;21.6;14:40;3.5;5:30;12.2;97.3;30.0;70.9;0.9;5.1;340.3;16.4;0.2;2.7
22/03/26;81;19.2;15:56;7.3;--:--;12.8;96.2;47.2;80.0;0.6;3.7;281.6;12.5;0.0;2.0
21/03/26;80;15.0;11:50;9.1;00:54;11.6;97.1;71.2;90.2;1.6;4.0;100.5;7.6;3.8;1.5
20/03/26;79;15.7;16:00;9.2;23:56;12.2;97.3;58.3;83.4;2.2;9.1;141.5;8.7;7.6;1.9
19/03/26;78;22.1;14:32;4.6;3:10;13.6;97.0;30.8;66.5;1.5;5.9;142.8;15.5;0.0;3.1
18/03/26;77;19.8;13:48;6.3;1:28;12.4;94.1;36.1;66.2;1.5;6.7;166.7;17.5;0.0;2.9
17/03/26;76;22.5;15:08;2.3;4:30;11.9;96.4;17.4;59.5;1.7;7.6;156.9;19.0;0.0;3.8
16/03/26;75;20.8;14:56;3.6;5:24;11.7;91.7;30.2;59.9;1.2;6.2;48.8;17.1;0.0;2.9
15/03/26;74;18.4;14:56;8.6;22:10;12.6;93.5;37.9;73.3;2.3;7.3;335.1;13.2;0.0;2.8
14/03/26;73;15.7;14:38;8.3;00:46;11.8;95.2;52.1;79.1;5.0;12.8;302.4;13.6;0.2;2.8
13/03/26;72;19.9;16:06;2.5;6:44;11.6;97.6;35.7;72.5;1.3;6.5;289.0;14.7;0.0;2.6
12/03/26;71;20.3;15:44;2.6;6:24;11.2;97.2;39.5;75.9;0.8;4.7;261.2;14.9;0.2;2.3
11/03/26;70;17.4;15:38;2.2;7:08;9.7;97.5;48.8;79.8;1.2;5.1;347.5;13.8;0.0;2.1
10/03/26;69;11.0;12:50;2.1;3:50;6.5;97.1;52.2;83.5;1.3;5.1;19.4;8.3;0.2;1.4
09/03/26;68;14.3;13:36;2.5;5:38;6.9;97.8;71.2;91.6;1.7;12.4;235.6;7.5;6.2;1.3
08/03/26;67;14.6;15:38;5.3;23:34;9.6;97.7;58.1;88.7;1.0;6.5;135.5;11.2;8.0;1.6
07/03/26;66;12.6;16:22;7.3;6:12;9.5;96.9;75.4;89.3;0.9;3.9;244.8;4.9;1.6;1.0
06/03/26;65;10.2;--:--;5.8;8:16;7.5;96.5;83.9;91.9;2.0;7.2;293.7;3.7;5.6;0.8
05/03/26;64;16.4;15:40;5.7;1:02;10.2;97.4;52.0;84.0;1.8;6.4;285.4;12.3;0.0;2.0
04/03/26;63;17.5;15:10;6.8;23:58;11.3;96.7;47.8;76.6;1.5;6.9;43.8;7.4;4.8;1.8
03/03/26;62;19.2;13:42;4.9;6:06;12.3;96.3;41.5;69.3;1.8;6.7;40.2;12.3;0.0;2.4
02/03/26;61;18.8;13:36;5.9;4:54;11.7;95.4;40.6;72.3;2.2;9.3;135.8;14.5;0.2;2.7
01/03/26;60;17.2;15:22;3.4;4:32;10.2;97.6;49.8;80.9;1.4;5.7;128.2;12.9;0.0;2.0
28/02/26;59;18.8;15:36;5.9;3:06;11.0;97.9;37.6;79.1;1.3;4.9;293.8;14.5;0.0;2.3
27/02/26;58;21.7;14:10;2.7;7:16;11.6;96.6;29.2;71.1;1.2;7.7;300.7;14.5;0.0;2.5
26/02/26;57;24.1;15:22;2.4;6:26;12.2;96.1;17.5;65.4;0.6;4.6;187.9;14.6;0.0;2.2
25/02/26;56;22.0;13:34;3.9;5:18;12.1;94.7;21.8;65.1;1.2;5.8;164.3;11.8;0.0;2.5
24/02/26;55;22.8;14:40;2.5;6:58;11.9;96.2;23.2;65.9;1.0;4.6;153.8;14.3;0.0;2.5
23/02/26;54;24.0;15:20;1.9;7:10;11.7;97.1;15.9;67.0;1.0;5.0;149.4;15.1;0.2;2.7
22/02/26;53;24.4;14:34;0.6;6:54;11.0;97.1;22.0;70.2;0.5;2.7;196.4;14.7;0.0;2.0
21/02/26;52;23.5;16:34;0.2;7:08;10.2;97.1;16.8;66.1;0.7;4.3;173.9;14.4;0.0;2.2
20/02/26;51;18.0;14:56;0.0;7:12;7.9;97.3;27.4;72.7;1.0;4.6;287.2;14.0;0.2;2.0
19/02/26;50;13.0;15:26;2.5;23:56;8.2;94.1;40.0;74.1;3.0;8.0;306.9;12.6;0.0;2.2
18/02/26;49;14.2;14:54;8.2;7:04;10.6;96.1;56.4;85.2;2.1;8.9;266.6;7.7;0.4;1.6
17/02/26;48;16.9;15:40;9.5;23:48;11.7;96.6;62.3;88.0;1.7;4.9;298.1;9.7;0.2;1.6
16/02/26;47;13.4;13:52;7.8;00:02;10.7;95.6;72.1;87.3;2.5;6.8;292.2;3.9;0.2;1.1
15/02/26;46;13.3;14:40;0.6;6:42;7.3;97.2;58.9;83.4;2.3;9.2;310.2;11.2;0.0;1.6
14/02/26;45;11.8;15:08;2.3;23:48;7.1;89.7;34.2;61.8;6.2;14.8;314.2;13.9;0.0;2.9
13/02/26;44;13.3;2:46;6.8;11:02;10.2;94.9;57.8;82.4;6.0;15.1;270.1;8.2;11.4;2.0
12/02/26;43;15.7;15:54;10.1;7:22;12.4;96.5;53.8;79.6;2.8;8.4;274.9;8.8;1.8;1.9
11/02/26;42;17.4;15:18;12.8;23:58;14.7;96.3;76.5;91.0;2.9;7.8;234.7;5.3;11.8;1.3
10/02/26;41;18.6;13:24;13.3;5:30;15.2;94.7;75.8;88.9;2.7;7.1;256.1;5.8;6.6;1.4
09/02/26;40;15.9;13:10;9.1;00:44;12.8;97.2;78.3;92.5;1.9;5.9;241.3;4.2;7.6;1.0
08/02/26;39;11.4;14:12;6.3;5:38;8.5;93.5;53.9;77.9;3.5;9.1;267.9;8.5;0.8;1.7
07/02/26;38;10.7;15:52;4.2;4:40;7.5;95.5;75.8;88.3;2.8;11.7;208.3;2.1;19.2;0.9
06/02/26;37;12.8;15:02;5.4;23:42;9.0;93.6;52.2;81.3;2.6;10.4;239.4;8.3;2.4;1.6
05/02/26;36;16.2;12:54;9.5;22:34;12.7;97.0;49.8;83.3;4.4;12.5;242.7;6.7;14.4;2.2
04/02/26;35;13.7;15:22;8.4;--:--;11.7;97.0;81.9;92.4;3.4;10.6;254.9;1.9;20.0;0.9
03/02/26;34;11.1;13:40;5.5;5:00;7.6;94.3;58.1;83.4;2.2;7.6;213.9;7.3;8.0;1.3
02/02/26;33;11.3;1:04;5.5;7:26;8.8;95.3;60.3;84.2;3.2;14.2;217.7;7.6;14.0;1.4
01/02/26;32;14.0;15:46;3.9;00:08;9.5;97.0;87.8;93.9;1.8;6.4;167.9;2.4;7.4;0.7
31/01/26;31;12.0;13:06;3.3;23:42;7.9;95.8;53.8;79.4;2.8;8.4;285.3;8.6;0.0;1.5
30/01/26;30;13.1;17:28;4.4;7:02;9.2;97.0;68.6;87.2;2.8;14.7;244.7;3.9;0.8;1.2
29/01/26;29;16.5;14:04;9.9;23:54;13.5;95.2;81.9;90.6;3.6;14.1;254.3;3.2;7.2;1.1
28/01/26;28;14.3;15:02;7.3;2:16;10.7;95.4;54.0;77.7;4.4;14.7;247.1;8.1;17.6;1.9
27/01/26;27;13.9;11:14;6.4;18:22;10.3;94.2;51.3;80.5;4.3;13.0;243.0;5.9;16.2;1.9
26/01/26;26;15.5;15:38;9.8;--:--;12.0;96.7;76.3;90.6;2.1;8.4;238.2;3.9;1.0;1.0
25/01/26;25;12.2;13:44;5.6;--:--;9.2;95.4;80.2;88.0;3.3;9.0;255.5;5.2;5.4;0.9
24/01/26;24;8.7;15:12;1.6;7:52;5.1;89.8;61.0;79.9;3.2;9.9;284.8;7.2;0.0;1.2
23/01/26;23;11.6;13:10;3.0;21:58;7.6;95.8;49.5;82.5;3.0;10.8;262.5;6.5;17.0;1.5
22/01/26;22;10.4;23:34;5.2;6:04;8.0;93.8;65.0;85.1;3.4;9.6;264.1;4.4;4.8;1.2
21/01/26;21;11.6;19:12;-0.2;2:34;6.7;97.5;80.6;93.3;2.7;10.6;191.0;3.1;7.0;0.8
20/01/26;20;11.6;14:20;-2.0;4:48;3.9;97.6;38.7;84.9;1.4;6.6;303.5;8.2;0.2;1.2
19/01/26;19;11.3;13:18;-2.3;6:36;3.9;96.9;45.6;79.2;1.2;5.7;298.0;10.2;0.2;1.1
18/01/26;18;10.1;14:38;0.3;23:42;4.2;97.5;54.3;84.1;1.1;5.1;35.2;7.3;0.0;0.9
17/01/26;17;9.2;15:14;1.8;23:12;5.4;96.5;54.0;84.2;2.0;6.6;275.2;6.8;1.0;1.1
16/01/26;16;13.3;15:02;5.6;21:28;8.3;97.6;52.3;88.3;1.4;5.9;255.8;5.7;11.2;1.1
15/01/26;15;11.9;12:52;1.2;4:32;5.8;98.5;72.1;92.4;1.0;5.0;180.3;5.8;2.0;0.7
14/01/26;14;14.4;14:18;3.2;23:56;8.5;97.6;54.0;88.9;0.8;3.5;249.2;8.1;0.4;0.9
13/01/26;13;11.8;11:20;7.4;7:40;9.6;95.7;49.1;81.5;2.4;8.5;157.4;3.3;7.4;1.3
12/01/26;12;16.3;12:38;-0.7;6:42;6.6;98.1;34.2;78.8;1.3;5.6;153.2;8.7;0.2;1.5
11/01/26;11;14.2;14:46;-1.8;7:38;4.3;98.2;44.9;86.4;0.6;3.2;259.3;9.1;0.2;0.8
10/01/26;10;10.8;13:44;0.4;23:28;5.3;97.3;51.1;84.3;1.3;5.1;294.6;8.3;0.2;1.0
09/01/26;9;12.5;15:02;4.5;23:00;7.6;96.8;59.3;88.4;1.7;8.4;214.6;4.2;0.2;1.0
08/01/26;8;11.2;14:58;2.6;2:22;5.8;97.2;65.7;88.9;1.6;6.7;267.0;7.3;0.2;0.9
07/01/26;7;8.2;13:34;-5.4;6:44;1.8;96.5;50.9;87.6;0.9;5.5;166.2;6.3;0.2;0.7
06/01/26;6;7.9;13:28;-2.7;23:44;1.9;90.7;32.4;66.3;1.9;7.5;326.1;9.6;0.0;1.2
05/01/26;5;9.4;11:08;1.3;23:58;5.6;97.2;69.7;89.8;2.1;6.2;326.8;3.4;0.2;0.8
04/01/26;4;12.8;14:32;6.8;23:56;9.6;97.4;76.1;91.3;0.9;4.3;16.6;3.1;2.4;0.7
03/01/26;3;12.9;14:30;7.4;6:42;10.2;97.2;70.5;88.6;1.4;5.9;129.7;3.7;3.8;0.8
02/01/26;2;16.4;14:10;7.6;2:10;11.0;88.2;50.3;76.0;2.4;5.8;126.7;3.8;0.0;1.7
01/01/26;1;10.5;14:52;-1.0;4:26;5.8;98.9;76.1;88.5;1.8;5.6;127.1;2.1;0.2;0.7
31/12/25;365;14.2;14:48;-0.6;7:20;3.9;98.6;44.5;88.8;0.5;3.0;211.4;7.4;0.4;0.7
30/12/25;364;11.3;15:36;-0.7;4:50;3.6;97.9;79.0;95.1;0.4;2.4;166.7;5.5;0.2;0.5
29/12/25;363;12.6;14:54;0.2;4:14;4.7;97.2;58.5;91.5;0.6;2.8;230.2;5.9;0.2;0.7
28/12/25;362;11.6;14:48;2.1;23:20;7.1;96.1;69.8;88.8;1.6;5.6;129.5;4.1;0.0;0.8
27/12/25;361;11.3;15:22;-2.7;7:32;4.6;97.5;51.2;84.1;1.8;6.9;130.8;6.8;3.2;1.1
26/12/25;360;10.3;13:32;-0.4;23:26;4.5;97.0;47.7;83.7;0.8;3.7;251.4;7.2;0.0;0.7
25/12/25;359;12.1;14:12;0.5;4:46;5.4;97.1;52.4;86.1;0.7;3.7;225.7;8.0;0.0;0.7
24/12/25;358;9.4;15:14;2.0;23:44;6.8;96.8;75.9;90.5;0.9;3.4;118.8;3.2;3.6;0.6
23/12/25;357;9.8;16:48;5.0;1:56;7.3;96.5;88.7;93.2;1.2;5.3;243.0;2.9;7.6;0.5
22/12/25;356;7.8;12:42;2.4;7:24;4.8;93.2;72.4;87.2;2.0;6.2;274.3;4.9;1.0;0.7
21/12/25;355;8.8;1:56;1.6;22:16;6.5;94.9;67.6;85.8;1.9;7.3;257.3;2.5;6.8;0.8
20/12/25;354;10.9;14:10;5.8;19:12;8.2;96.6;53.4;87.0;1.9;5.7;245.5;3.3;1.6;1.1
19/12/25;353;13.9;14:16;4.9;6:24;8.8;96.5;62.5;89.1;1.3;4.5;141.2;4.8;5.0;0.9
18/12/25;352;15.4;13:52;2.1;7:38;7.7;97.2;53.6;87.3;0.7;3.7;174.9;7.4;0.2;0.8
17/12/25;351;14.8;14:54;3.1;5:58;8.1;96.2;58.3;86.2;1.2;4.3;297.2;6.7;0.2;1.0
16/12/25;350;9.4;00:14;4.4;22:20;6.9;95.9;82.3;91.9;1.3;5.9;272.1;2.4;14.4;0.6
15/12/25;349;13.9;13:44;2.4;7:54;7.6;97.4;68.9;90.8;1.2;5.8;158.6;4.4;9.4;0.8
14/12/25;348;17.5;13:52;3.3;7:50;9.9;95.1;48.1;78.5;1.0;6.3;18.5;7.7;0.0;1.1
13/12/25;347;18.0;14:00;7.8;23:58;12.7;87.6;43.9;66.4;2.2;8.0;86.2;8.5;0.0;1.8
12/12/25;346;12.8;12:48;7.1;1:50;9.8;95.9;72.3;87.5;1.8;5.5;133.1;3.1;0.0;0.9
11/12/25;345;15.6;15:06;4.4;8:26;9.4;97.4;56.1;86.3;1.0;4.4;155.3;8.0;0.2;0.9
10/12/25;344;12.7;1:56;8.6;23:42;10.2;96.4;63.3;90.4;1.7;5.8;128.9;2.3;10.2;1.0
09/12/25;343;18.2;12:58;2.2;4:22;10.0;97.1;40.0;73.1;1.3;4.8;151.5;7.6;0.2;1.4
08/12/25;342;16.0;14:20;0.9;6:24;6.9;97.4;52.6;86.3;0.5;3.5;196.1;8.0;0.2;0.7
07/12/25;341;15.8;14:00;3.2;--:--;9.0;95.7;53.9;82.9;0.9;5.3;270.9;7.8;0.0;0.9
06/12/25;340;15.0;14:12;9.8;7:48;12.3;97.3;66.0;86.9;0.9;4.5;284.6;3.3;0.6;0.8
05/12/25;339;13.3;16:46;5.0;00:30;9.5;97.3;92.2;96.3;1.1;3.5;132.4;1.8;3.0;0.5
04/12/25;338;12.9;14:16;1.6;2:52;7.1;96.1;66.5;88.4;1.5;8.2;215.6;3.7;0.4;0.9
03/12/25;337;11.0;14:50;3.5;23:58;6.7;92.8;49.2;77.8;2.8;9.5;305.2;10.2;0.0;1.4
02/12/25;336;11.0;14:24;1.0;5:44;6.2;96.8;66.2;87.8;1.5;7.5;230.0;5.4;4.0;0.8
01/12/25;335;16.2;15:46;2.0;7:02;8.2;94.6;43.9;77.9;0.8;4.0;243.5;9.6;0.0;1.0
30/11/25;334;10.6;15:34;4.1;--:--;7.9;96.9;75.2;90.4;1.2;4.7;101.0;3.2;4.2;0.7
29/11/25;333;16.4;13:28;-1.0;6:46;6.3;97.2;41.9;82.9;0.7;6.7;254.4;8.6;0.2;1.0
28/11/25;332;16.8;15:04;-0.8;7:14;6.4;95.5;35.2;75.0;0.5;3.3;259.6;10.1;0.0;0.9
27/11/25;331;15.2;13:48;-1.8;7:02;5.4;95.5;28.1;71.5;0.9;4.4;264.6;10.3;0.2;1.2
26/11/25;330;14.2;13:30;0.3;7:20;5.7;96.1;33.7;73.1;0.9;4.7;275.9;10.6;0.0;1.1
25/11/25;329;14.0;13:58;3.0;23:28;10.0;93.7;39.8;73.1;2.8;8.0;314.7;11.0;0.0;1.8
24/11/25;328;13.6;23:34;5.7;--:--;10.5;94.1;74.2;86.5;1.6;7.1;218.7;3.6;0.6;0.9
23/11/25;327;15.0;13:12;-0.3;6:52;6.8;94.7;41.0;75.0;0.6;2.7;249.3;8.7;0.0;0.9
22/11/25;326;13.0;14:30;-2.4;6:36;4.6;91.9;26.5;65.1;0.7;3.2;251.8;10.8;0.0;1.0
21/11/25;325;12.9;14:26;-0.4;7:14;5.4;94.3;33.7;71.1;0.8;4.6;295.9;10.8;0.2;1.0
20/11/25;324;14.4;13:56;0.8;6:18;6.6;96.2;38.0;76.6;0.9;5.4;275.2;10.3;0.0;1.1
19/11/25;323;15.0;14:30;2.4;7:18;7.8;96.9;50.8;81.1;0.9;4.9;285.2;8.4;0.2;1.1
18/11/25;322;16.6;13:36;4.0;23:54;9.8;95.5;45.1;79.4;1.0;4.5;298.3;11.1;0.2;1.3
17/11/25;321;14.9;15:26;7.8;1:06;10.5;97.2;62.7;90.0;1.1;5.1;80.4;4.5;0.2;1.0
16/11/25;320;17.3;14:26;7.0;5:20;10.9;99.1;59.5;89.9;1.4;8.1;171.4;7.3;11.2;1.2
15/11/25;319;15.5;14:12;10.5;--:--;13.2;94.7;84.3;91.2;1.9;9.3;202.8;1.4;25.6;0.8
14/11/25;318;13.9;00:04;10.4;23:26;12.1;95.9;86.5;91.9;2.0;9.6;182.6;2.0;28.6;0.7
13/11/25;317;17.3;00:04;13.0;22:10;14.7;92.7;44.7;81.7;3.7;11.2;175.8;2.6;50.6;2.2
12/11/25;316;23.4;11:06;10.8;7:32;17.3;55.0;22.6;42.5;2.6;9.5;156.2;12.2;0.0;3.6
11/11/25;315;21.9;13:02;3.2;6:02;11.8;96.8;19.7;62.4;1.2;4.6;151.7;11.6;0.2;2.1
10/11/25;314;19.2;14:54;1.3;7:04;9.5;96.6;27.6;76.1;0.6;3.2;248.6;11.3;0.0;1.3
09/11/25;313;18.8;15:22;1.3;6:00;9.1;98.6;25.9;74.5;0.6;4.9;172.2;10.1;0.0;1.3
08/11/25;312;17.2;14:22;4.9;23:46;11.4;94.6;42.7;77.1;2.1;8.3;299.0;11.5;0.2;2.0
07/11/25;311;17.9;12:04;4.4;6:48;11.6;96.6;46.9;78.8;0.9;4.3;205.5;8.1;0.0;1.3
06/11/25;310;15.4;12:54;6.2;23:00;10.7;94.6;51.2;79.1;1.7;7.2;274.8;9.8;0.0;1.5
05/11/25;309;22.2;13:16;10.4;23:28;16.7;89.9;45.0;69.6;3.4;10.2;175.8;9.7;2.0;2.9
04/11/25;308;23.3;14:30;7.5;5:30;14.4;96.6;39.0;75.9;1.6;4.4;147.5;10.4;0.2;2.3
03/11/25;307;24.2;15:44;3.7;6:34;12.6;95.9;28.5;72.7;0.5;4.0;178.2;12.5;0.0;1.6
02/11/25;306;20.2;14:20;6.5;23:58;15.0;96.8;49.3;79.1;1.6;6.3;291.5;11.2;0.6;1.9
01/11/25;305;20.5;13:56;8.0;6:10;14.4;97.4;53.2;82.5;0.9;4.6;181.4;8.8;0.2;1.5
31/10/25;304;18.7;11:58;10.8;23:44;15.0;96.4;66.3;86.4;1.1;5.4;174.2;5.8;0.0;1.2
30/10/25;303;19.3;15:46;11.1;3:22;14.5;100.0;74.4;92.6;0.9;4.0;196.7;5.6;0.2;1.1
29/10/25;302;16.5;2:14;12.2;21:14;14.7;97.5;84.2;94.6;1.2;8.2;152.1;0.7;76.2;0.7
28/10/25;301;24.9;12:24;9.2;6:18;16.3;94.9;37.1;75.3;1.7;6.8;158.8;11.4;0.8;2.7
27/10/25;300;23.8;15:28;9.9;6:54;16.6;94.2;34.6;69.4;0.6;4.3;163.1;9.8;0.0;1.7
26/10/25;299;21.5;14:48;10.5;22:56;16.6;92.5;51.2;79.5;1.3;5.5;316.1;6.7;0.0;1.7
25/10/25;298;27.6;14:36;10.2;5:24;17.6;96.3;31.8;76.1;0.8;5.5;269.3;11.5;0.2;2.2
24/10/25;297;25.7;14:32;10.6;6:50;17.7;96.2;45.3;77.0;0.9;5.0;267.9;12.7;0.0;2.2
23/10/25;296;25.0;14:54;13.4;3:46;18.8;95.5;50.6;78.2;1.4;6.1;266.0;9.7;0.0;2.2
22/10/25;295;23.7;15:56;15.8;4:18;19.0;93.0;51.4;75.4;1.7;6.9;293.5;9.3;0.0;2.2
21/10/25;294;24.8;13:32;10.1;4:16;17.6;91.9;50.0;77.9;1.6;5.6;225.1;10.2;0.4;2.3
20/10/25;293;24.6;13:50;12.2;23:52;18.2;85.9;40.7;65.5;1.6;7.2;260.4;13.4;0.0;2.8
19/10/25;292;26.4;14:16;11.1;4:42;19.0;86.9;27.0;55.0;1.5;6.3;178.2;12.5;0.0;3.0
18/10/25;291;27.2;15:20;9.6;6:08;17.4;95.3;21.0;63.5;0.9;5.4;145.9;15.0;0.0;2.7
17/10/25;290;27.6;13:36;12.2;6:46;18.9;93.4;27.4;66.7;1.4;8.4;122.7;15.8;5.0;3.2
16/10/25;289;26.8;12:36;13.0;3:20;19.5;83.8;33.5;60.6;1.2;4.6;156.0;12.7;0.0;2.8
15/10/25;288;28.9;13:36;9.2;6:42;18.7;83.8;22.4;53.2;0.6;4.0;191.2;15.6;0.0;2.5
14/10/25;287;28.8;13:52;10.2;6:00;18.7;92.0;23.7;56.7;0.6;4.5;267.6;16.4;0.0;2.6
13/10/25;286;27.6;15:22;13.9;5:32;20.3;89.9;29.5;58.6;0.7;3.4;185.7;13.5;0.2;2.5
12/10/25;285;27.7;14:34;10.2;5:24;18.9;92.1;29.2;59.1;0.6;5.0;214.6;14.9;0.0;2.5
11/10/25;284;25.8;14:12;10.9;6:02;18.2;90.0;33.1;60.0;1.4;5.4;55.9;15.7;0.0;3.1
10/10/25;283;26.7;14:52;11.0;6:28;18.6;92.2;29.0;61.3;1.3;6.1;51.5;16.3;0.0;3.2
09/10/25;282;27.5;14:08;13.7;4:30;19.7;81.1;31.2;57.5;1.1;4.7;313.9;16.6;0.0;3.2
08/10/25;281;28.0;15:08;11.9;6:22;19.6;90.5;34.6;62.9;1.0;5.1;236.9;17.2;0.0;3.1
07/10/25;280;29.8;14:24;11.6;6:28;20.6;92.9;25.6;58.9;0.6;3.3;194.0;18.4;0.0;3.0
06/10/25;279;29.5;14:40;12.9;6:06;20.7;91.0;28.4;61.4;1.3;6.2;156.6;17.5;0.0;3.7
05/10/25;278;30.1;15:06;11.0;5:38;20.1;90.6;27.3;57.5;0.7;3.9;271.3;18.9;0.0;3.2
04/10/25;277;30.1;15:30;11.4;6:20;20.0;87.1;12.7;46.6;1.1;6.6;273.7;19.3;0.0;3.8
03/10/25;276;30.1;15:02;12.6;3:48;21.0;93.8;24.1;58.0;0.8;4.6;269.1;18.5;0.0;3.3
02/10/25;275;29.5;15:22;11.6;5:54;20.2;93.7;26.1;62.2;0.5;3.1;243.4;15.9;0.0;2.7
01/10/25;274;28.0;14:08;12.1;6:22;19.6;94.4;33.0;66.8;0.6;3.5;254.5;14.9;0.0;2.7
30/09/25;273;26.9;15:22;14.3;5:46;19.5;93.6;37.0;69.0;1.0;3.9;334.6;17.2;0.0;3.2
29/09/25;272;23.2;13:34;15.4;4:56;17.7;96.3;63.5;86.8;0.6;5.0;144.1;8.0;4.8;1.7
