ID,Presion,Caudal,Vibracion,Estado
71,108.05,47.25,3.9,Normal
72,108.24,53.95,4.63,Normal
73,94.41,77.32,5.8,Normal
74,99.68,65.92,3.41,Normal
75,117.88,12.35,2.73,Precaución
76,84.39,31.82,2.72,Normal
77,106.52,25.07,4.03,Normal
78,110.6,6.76,4.44,Normal
79,104.95,51.88,3.97,Normal
80,118.73,57.96,4.34,Precaución
81,94.9,5.01,5.41,Precaución
82,89.52,19.36,4.51,Precaución
83,100.44,24.65,4.44,Precaución
84,98.23,64.49,5.65,Normal
85,113.03,49.21,3.72,Normal
86,94.77,53.69,5.54,Normal
87,122.63,72.13,2.28,Normal
88,87.24,48.75,5.02,Normal
89,109.59,56.91,6.75,Normal
90,116.18,47.25,6.64,Precaución
91,105.44,75.82,5.23,Crítico
92,92.33,31.41,6.75,Normal
93,83.06,14.19,3.88,Normal
94,102.51,62.77,3.52,Normal
95,111.58,10.76,4.59,Precaución
96,99.44,21.57,3.48,Normal
97,114.97,56.3,6.46,Normal
98,95.03,38.14,3.4,Crítico
99,86.89,23.79,4.51,Crítico
100,103.29,60.0,4.15,Normal
101,101.19,5.49,5.06,Normal
102,100.29,28.75,5.54,Normal
103,103.94,15.21,5.56,Normal
104,86.3,79.65,5.03,Normal
105,103.99,26.9,2.45,Normal
106,97.09,48.8,6.95,Normal
107,87.14,36.3,5.75,Normal
108,94.46,25.29,3.14,Normal
109,100.0,22.3,4.28,Normal
110,96.58,12.72,4.55,Normal
111,77.77,79.72,4.2,Normal
112,108.22,36.96,5.47,Crítico
113,112.64,67.19,5.7,Normal
114,97.66,21.68,2.51,Normal
115,101.55,61.71,3.45,Normal
116,105.12,59.75,5.27,Crítico
117,102.75,50.19,5.89,Precaución
118,97.6,69.12,4.82,Normal
119,107.35,18.88,4.35,Normal
120,97.18,47.6,5.43,Normal
121,112.27,33.96,3.8,Normal
122,80.35,11.42,4.88,Precaución
123,94.97,25.44,4.47,Crítico
124,107.84,16.26,6.44,Normal
125,93.12,25.65,4.96,Normal
126,93.29,41.39,3.28,Normal
127,95.9,31.26,4.27,Crítico
128,116.49,49.63,6.41,Crítico
129,104.11,55.46,4.05,Normal
130,107.62,52.71,6.19,Normal
131,113.39,35.02,5.57,Precaución
132,92.78,74.34,6.24,Normal
133,101.82,48.33,6.69,Normal
134,96.38,56.18,5.08,Normal
135,97.24,20.68,4.31,Precaución
136,84.11,77.88,5.58,Normal
137,82.45,27.46,6.17,Precaución
138,102.09,67.97,4.68,Normal
139,101.29,18.8,7.95,Normal
140,112.29,73.2,3.82,Precaución
141,107.26,6.08,6.58,Normal
142,95.88,13.15,5.78,Normal
143,95.63,63.95,4.66,Normal
144,102.74,37.73,4.65,Normal
145,93.68,49.09,4.62,Normal
146,94.88,58.06,4.94,Precaución
147,91.94,42.39,4.56,Crítico
148,99.95,77.5,5.11,Normal
149,97.28,20.09,5.24,Normal
150,83.77,15.26,4.85,Normal
151,117.23,71.64,4.53,Normal
152,97.52,24.69,5.52,Normal
153,91.04,13.59,7.5,Normal
154,94.59,6.01,5.61,Precaución
155,103.45,33.68,6.15,Normal
156,98.38,72.97,4.94,Normal
157,98.64,73.65,4.83,Normal
158,112.91,65.27,2.94,Crítico
159,95.11,10.0,3.29,Normal
160,100.14,18.69,5.06,Precaución
161,91.6,22.48,6.45,Normal
162,90.37,21.4,3.55,Precaución
163,106.47,22.89,5.1,Normal
164,87.65,36.95,4.08,Precaución
165,92.97,59.25,5.05,Normal
166,107.42,56.96,4.06,Precaución
167,90.73,14.58,5.62,Normal
168,102.48,37.33,4.53,Normal
169,111.9,54.88,5.77,Normal
170,96.6,39.96,3.81,Normal
171,100.97,54.94,4.64,Normal
172,91.92,76.85,5.59,Normal
173,80.12,64.65,6.48,Normal
174,108.98,51.71,4.69,Precaución
175,100.27,24.62,3.87,Normal
176,98.66,47.77,4.64,Precaución
177,102.38,33.07,5.0,Normal
178,99.4,7.74,4.74,Precaución
179,106.31,45.37,5.32,Normal
180,98.7,24.79,5.69,Normal
181,116.06,37.73,5.77,Normal
182,112.9,33.74,5.32,Precaución
183,98.22,37.07,5.03,Precaución
184,119.04,67.51,5.83,Precaución
185,87.84,40.07,5.67,Normal
186,93.46,50.49,6.68,Precaución
187,105.0,53.59,6.83,Normal
188,101.29,20.17,5.38,Normal
189,97.24,32.62,2.56,Normal
190,106.01,42.38,3.12,Normal
191,88.22,27.01,4.19,Normal
192,98.58,59.41,5.0,Crítico
193,123.02,65.47,5.11,Normal
194,90.04,73.57,4.36,Normal
195,97.23,43.39,3.33,Normal
196,85.33,77.67,8.24,Normal
197,97.47,28.47,5.76,Normal
198,95.9,45.15,3.39,Normal
199,95.33,21.06,4.17,Normal
200,96.82,25.35,6.17,Normal
201,103.76,49.8,2.85,Normal
202,100.29,57.31,8.39,Normal
203,99.32,56.67,5.85,Normal
204,86.97,28.17,5.9,Crítico
205,105.79,64.71,3.4,Normal
206,124.02,20.49,5.3,Crítico
207,102.17,37.82,4.36,Normal
208,99.72,17.1,4.85,Precaución
209,100.83,56.92,4.73,Normal
210,105.49,78.3,2.29,Crítico
211,107.15,11.94,5.99,Normal
212,105.91,72.62,5.16,Normal
213,97.96,29.51,6.13,Precaución
214,99.79,57.29,5.05,Normal
215,91.27,17.97,4.16,Normal
216,88.97,8.63,3.29,Normal
217,112.41,12.54,6.31,Normal
218,95.15,16.61,6.69,Normal
219,96.24,49.59,5.69,Normal
220,110.85,71.81,4.93,Crítico
221,92.48,79.23,6.8,Normal
222,88.43,35.86,6.43,Precaución
223,96.18,6.43,7.31,Normal
224,87.27,70.71,3.11,Normal
225,95.33,61.77,5.09,Normal
226,106.48,53.67,4.31,Precaución
227,115.05,23.27,4.32,Precaución
228,91.34,45.98,4.27,Normal
229,118.66,61.1,5.45,Normal
230,108.55,57.63,5.19,Crítico
231,116.12,26.19,5.52,Normal
232,108.95,45.82,5.36,Normal
233,97.53,36.03,3.56,Normal
234,84.88,77.32,5.61,Normal
235,99.32,62.11,5.18,Normal
236,98.22,73.4,5.22,Normal
237,89.32,22.79,4.21,Normal
238,96.74,21.45,3.44,Normal
239,100.93,46.17,3.77,Precaución
240,104.42,34.94,4.68,Normal
241,93.92,51.22,4.88,Normal
242,90.61,24.89,5.25,Precaución
243,86.0,71.45,3.78,Normal
244,92.48,21.89,5.66,Normal
245,98.29,43.2,3.39,Normal
246,106.5,32.56,5.94,Normal
247,108.5,23.95,4.75,Normal
248,100.7,16.16,4.95,Normal
249,94.52,56.7,5.47,Normal
250,90.12,11.38,1.83,Normal
251,107.12,17.75,4.89,Normal
252,101.66,7.67,7.26,Normal
253,110.82,69.2,6.66,Normal
254,110.49,12.58,4.21,Normal
255,115.69,51.05,6.16,Normal
256,99.61,19.57,5.09,Normal
257,108.79,49.52,4.36,Normal
258,83.85,59.82,5.31,Precaución
259,104.58,76.98,5.34,Crítico
260,102.84,29.34,5.84,Normal
261,101.92,5.3,5.05,Precaución
262,105.89,9.0,3.43,Precaución
263,90.49,38.14,4.84,Normal
264,98.28,56.71,5.45,Precaución
265,90.0,50.14,4.78,Normal
266,113.27,33.71,3.13,Normal
267,106.44,5.99,4.69,Normal
268,107.91,15.53,4.79,Normal
269,102.42,27.09,5.7,Precaución
270,108.63,8.68,3.87,Normal
271,121.94,54.11,5.01,Normal
272,94.69,72.45,6.45,Precaución
273,108.62,32.89,4.76,Normal
274,108.04,63.73,5.95,Normal
275,115.48,72.5,3.81,Crítico
276,105.33,16.78,5.84,Normal
277,112.78,61.71,5.1,Precaución
278,104.56,32.8,4.15,Normal
279,101.22,6.69,5.19,Normal
280,102.36,46.89,3.94,Precaución
281,96.5,21.46,4.3,Normal
282,109.6,7.72,5.47,Precaución
283,115.45,54.66,5.86,Normal
284,102.29,77.87,4.7,Normal
285,101.05,74.18,3.28,Normal
286,99.37,5.37,4.77,Normal
287,101.53,39.8,3.35,Precaución
288,106.54,58.7,4.14,Normal
289,108.78,60.33,5.81,Normal
290,93.24,13.63,2.73,Normal
291,85.42,66.79,4.9,Precaución
292,103.32,70.52,4.41,Normal
293,85.67,15.37,4.3,Crítico
294,92.45,9.05,4.01,Normal
295,89.82,5.73,4.3,Normal
296,95.1,50.1,4.58,Normal
297,105.35,51.36,4.7,Crítico
298,114.33,47.39,4.37,Normal
299,104.8,32.41,3.99,Precaución
300,104.22,17.95,7.1,Normal
301,93.3,48.51,2.77,Normal
302,102.29,57.1,4.7,Crítico
303,94.36,72.23,4.44,Normal
304,114.95,37.14,6.46,Normal
305,91.82,24.65,5.63,Precaución
306,86.07,60.2,5.12,Normal
307,110.17,20.13,4.78,Normal
308,98.83,32.88,4.14,Normal
309,114.31,47.39,4.56,Crítico
310,105.45,64.96,4.16,Normal
311,94.57,67.95,4.85,Normal
312,100.33,74.47,5.94,Normal
313,116.18,52.01,4.32,Normal
314,109.4,61.33,6.52,Normal
315,98.32,53.42,3.93,Precaución
316,86.71,66.2,7.36,Normal
317,105.93,17.07,5.34,Precaución
318,102.16,73.85,5.13,Normal
319,105.99,17.11,4.49,Normal
320,84.32,66.24,6.6,Precaución
321,96.84,42.86,6.19,Normal
322,98.97,11.63,3.43,Normal
323,99.64,26.4,3.18,Normal
324,113.0,75.19,2.58,Normal
325,93.33,55.51,2.83,Normal
326,88.5,46.72,6.57,Normal
327,93.17,62.02,4.61,Normal
328,101.73,31.13,4.4,Normal
329,108.85,14.65,5.58,Crítico
330,107.61,11.32,3.84,Precaución
331,96.95,16.67,4.27,Normal
332,106.97,13.83,5.03,Normal
333,80.44,71.43,5.65,Normal
334,104.07,72.08,2.78,Precaución
335,110.55,74.08,5.19,Normal
336,84.54,6.58,7.35,Precaución
337,111.46,75.65,5.26,Normal
338,89.19,48.84,5.78,Crítico
339,85.2,76.05,6.3,Normal
340,106.56,8.88,5.69,Normal
341,98.75,18.63,4.92,Normal
342,100.62,53.97,5.2,Precaución
343,99.48,29.78,3.96,Normal
344,96.72,41.33,4.58,Normal
345,125.88,66.63,5.56,Precaución
346,109.45,64.51,4.38,Normal
347,99.78,35.42,5.27,Normal
348,114.62,9.41,5.17,Normal
349,113.59,11.26,4.33,Normal
350,107.43,74.21,8.38,Precaución
351,90.2,28.81,6.15,Precaución
352,100.76,9.5,5.91,Normal
353,90.54,68.89,4.61,Precaución
354,95.63,8.86,5.29,Normal
355,100.99,48.9,4.13,Precaución
356,101.38,58.32,5.43,Crítico
357,101.8,14.95,3.83,Precaución
358,120.28,26.21,6.39,Precaución
359,100.73,42.68,6.12,Precaución
360,125.02,54.3,6.02,Normal
361,102.22,43.21,4.49,Normal
362,88.73,59.2,3.58,Normal
363,99.55,46.15,5.34,Normal
364,113.45,15.81,6.03,Normal
365,100.76,18.49,5.35,Normal
366,102.53,74.56,3.8,Precaución
367,93.98,41.26,6.16,Normal
368,112.12,55.38,2.46,Normal
369,97.43,9.31,5.13,Precaución
370,94.26,44.21,4.07,Precaución
371,90.61,75.15,4.98,Normal
372,104.47,19.92,4.88,Normal
373,103.57,58.87,6.24,Normal
374,96.7,64.39,6.96,Normal
375,109.46,32.93,5.93,Precaución
376,94.36,17.76,4.49,Normal
377,100.5,14.16,6.29,Precaución
378,104.51,12.19,6.22,Normal
379,122.23,27.51,6.23,Normal
380,102.45,8.03,5.38,Crítico
381,102.98,11.48,5.76,Normal
382,110.64,5.0,4.83,Precaución
383,108.46,13.68,3.12,Normal
384,104.11,45.95,3.93,Normal
385,91.72,22.64,5.8,Normal
386,88.06,16.74,7.93,Normal
387,97.48,79.36,7.34,Normal
388,101.29,5.95,2.94,Crítico
389,81.04,66.04,4.56,Normal
390,90.91,50.66,6.3,Normal
391,103.66,50.74,6.15,Normal
392,88.54,28.52,4.32,Normal
393,112.56,63.6,6.83,Normal
394,100.16,69.55,3.46,Precaución
395,93.6,17.66,4.84,Normal
396,109.01,23.06,3.49,Normal
397,116.37,66.63,2.72,Crítico
398,88.93,43.29,5.93,Normal
399,85.54,7.55,4.5,Normal
400,104.84,57.72,5.46,Normal
401,89.65,11.1,6.76,Precaución
402,92.05,9.02,4.71,Normal
403,104.88,17.94,5.65,Normal
404,110.52,57.95,3.8,Crítico
405,90.16,77.52,7.93,Precaución
406,103.33,58.23,5.51,Crítico
407,112.82,41.91,4.67,Normal
408,117.09,54.51,4.43,Normal
409,116.04,34.31,4.5,Normal
410,101.29,16.45,3.54,Normal
411,106.84,5.64,5.67,Normal
412,97.14,59.94,4.2,Normal
413,89.54,60.32,4.68,Normal
414,115.28,60.65,4.48,Normal
415,95.33,14.4,3.76,Normal
416,119.32,65.16,4.53,Normal
417,95.38,11.52,4.64,Crítico
418,94.34,78.46,6.5,Normal
419,81.47,12.16,5.29,Precaución
420,103.76,46.23,6.84,Normal
421,96.06,59.75,5.42,Normal
422,101.29,25.14,5.69,Normal
423,85.87,6.95,5.67,Normal
424,112.19,33.69,4.74,Normal
425,90.83,50.98,4.36,Normal
426,105.26,31.81,5.51,Normal
427,101.73,61.35,4.02,Normal
428,104.61,28.69,4.93,Precaución
429,78.65,77.61,5.48,Precaución
430,101.85,40.17,3.4,Normal
431,101.89,23.51,5.6,Precaución
432,88.17,66.88,4.92,Normal
433,102.15,65.7,4.64,Normal
434,98.81,65.31,5.18,Normal
435,85.2,48.9,7.66,Normal
436,115.92,45.29,4.19,Precaución
437,95.4,16.22,5.46,Normal
438,100.88,53.85,4.8,Normal
439,107.0,24.8,4.48,Normal
440,116.64,46.64,5.83,Normal
441,91.34,61.87,3.11,Normal
442,78.58,57.89,3.02,Crítico
443,103.0,52.48,4.07,Normal
444,89.07,53.8,4.34,Precaución
445,109.72,70.5,7.61,Normal
446,95.02,38.27,4.67,Normal
447,98.62,66.12,6.15,Normal
448,94.61,10.08,3.55,Normal
449,111.03,41.58,5.46,Normal
450,99.42,45.89,5.32,Crítico
451,101.0,77.11,5.65,Precaución
452,97.59,51.85,5.19,Normal
453,90.18,72.78,5.17,Normal
454,102.91,13.04,6.12,Normal
455,101.41,76.91,5.12,Normal
456,102.67,31.22,5.48,Normal
457,81.53,74.83,3.46,Crítico
458,82.33,31.0,4.3,Normal
459,102.57,75.77,4.91,Precaución
460,100.33,46.96,5.05,Precaución
461,116.9,50.28,6.19,Normal
462,80.5,37.96,2.69,Normal
463,87.12,38.96,4.59,Precaución
464,99.68,9.93,4.91,Precaución
465,95.82,37.76,5.46,Normal
466,101.26,49.02,7.35,Normal
467,102.49,16.12,5.58,Normal
468,109.88,74.64,5.88,Precaución
469,102.96,70.24,3.71,Crítico
470,102.51,31.05,3.34,Normal
471,96.19,36.99,4.87,Crítico
472,99.61,68.31,4.67,Crítico
473,98.48,78.74,3.86,Normal
474,86.91,15.94,6.2,Normal
475,85.85,71.67,3.12,Normal
476,104.31,59.92,4.16,Normal
477,112.16,31.32,6.9,Precaución
478,113.07,37.86,4.58,Normal
479,80.14,33.51,3.38,Precaución
480,98.21,68.94,1.8,Normal
481,96.28,71.8,2.23,Normal
482,95.89,43.9,4.74,Crítico
483,100.86,33.52,6.32,Precaución
484,100.71,42.59,6.46,Precaución
485,103.94,33.37,4.46,Normal
486,103.22,42.78,5.26,Normal
487,97.24,59.84,3.95,Normal
488,113.73,77.52,7.39,Precaución
489,98.9,36.43,3.89,Normal
490,103.79,68.12,4.14,Normal
491,122.38,23.2,6.46,Normal
492,101.95,41.65,5.11,Normal
493,100.29,46.77,4.91,Normal
494,119.17,64.7,5.91,Normal
495,116.17,49.42,4.97,Normal
496,86.6,22.94,5.76,Normal
497,98.35,75.71,8.0,Crítico
498,100.15,72.29,3.88,Normal
499,106.87,58.35,3.65,Normal
500,85.28,60.72,8.0,Normal
501,90.57,53.71,3.9,Normal
502,79.56,11.5,3.0,Normal
503,90.85,73.33,5.43,Normal
504,103.6,18.36,3.32,Crítico
505,99.42,67.12,3.45,Crítico
506,105.83,33.03,5.69,Normal
507,94.75,33.75,4.3,Normal
508,85.3,54.59,5.47,Precaución
509,95.22,38.07,7.61,Normal
510,109.86,79.65,5.55,Normal
511,121.05,37.81,5.84,Normal
512,105.29,15.91,5.39,Precaución
513,100.61,5.87,5.04,Normal
514,109.59,42.34,5.91,Normal
515,107.15,79.29,7.12,Normal
516,111.32,65.26,6.69,Crítico
517,93.47,28.65,6.55,Normal
518,117.29,39.23,6.0,Normal
519,115.27,71.84,4.48,Normal
520,99.22,24.04,3.37,Normal
521,94.58,8.81,5.87,Crítico
522,95.86,42.16,3.12,Normal
523,105.57,65.01,4.93,Precaución
524,128.9,39.26,3.43,Crítico
525,105.1,39.08,3.52,Precaución
526,79.37,21.58,5.54,Precaución
527,108.92,26.43,5.17,Precaución
528,96.75,76.97,3.0,Normal
529,104.93,51.17,5.78,Normal
530,97.42,17.29,3.94,Normal
531,95.51,67.5,4.62,Normal
532,100.06,74.01,4.47,Normal
533,109.48,39.18,5.02,Normal
534,100.73,43.13,5.59,Normal
535,109.56,5.36,5.72,Normal
536,88.13,64.23,2.9,Normal
537,107.52,7.08,3.72,Normal
538,102.38,77.81,2.48,Precaución
539,82.37,5.3,4.14,Crítico
540,113.81,76.23,3.34,Normal
541,105.5,47.31,5.96,Precaución
542,96.18,10.1,2.77,Normal
543,89.01,19.09,6.29,Normal
544,95.16,25.25,4.03,Precaución
545,109.51,6.12,5.56,Normal
546,107.47,58.08,5.13,Precaución
547,120.96,6.81,4.57,Precaución
548,101.08,9.96,4.03,Normal
549,105.69,37.32,6.7,Precaución
550,110.15,52.89,5.3,Precaución
551,102.83,13.39,6.03,Precaución
552,128.0,8.18,5.66,Normal
553,116.19,9.9,6.19,Precaución
554,84.27,27.72,6.43,Normal
555,105.88,72.32,5.15,Crítico
556,91.92,47.79,3.94,Normal
557,93.22,42.74,5.54,Precaución
558,102.62,14.85,4.97,Normal
559,96.52,14.19,4.96,Normal
560,105.08,8.57,4.79,Normal
561,89.83,47.94,6.17,Normal
562,89.21,59.72,5.47,Normal
563,91.1,28.59,5.18,Normal
564,85.39,79.57,4.24,Normal
565,107.95,73.01,6.21,Normal
566,105.33,23.28,4.81,Normal
567,114.98,17.79,7.59,Precaución
568,96.33,63.1,5.37,Normal
569,92.65,75.09,4.67,Normal
570,94.74,69.77,5.9,Crítico
571,105.46,50.45,5.76,Normal
572,108.33,5.16,3.86,Normal
573,110.14,74.09,3.21,Precaución
574,83.34,14.04,4.72,Crítico
575,100.83,8.04,6.04,Normal
576,97.5,21.06,4.11,Normal
577,105.35,47.99,3.53,Precaución
578,81.74,27.18,3.84,Precaución
579,101.19,28.12,5.59,Normal
580,120.41,59.07,5.05,Precaución
581,102.51,59.93,5.7,Normal
582,114.89,7.07,4.55,Normal
583,108.39,15.37,2.47,Normal
584,86.11,29.84,4.39,Normal
585,84.27,63.83,4.35,Normal
586,88.74,32.43,3.85,Normal
587,108.51,16.95,5.26,Normal
588,101.39,22.71,5.22,Precaución
589,98.82,69.05,4.21,Normal
590,106.53,68.49,5.71,Normal
591,104.45,59.02,8.64,Normal
592,101.01,25.34,2.87,Normal
593,84.62,77.94,4.33,Precaución
594,113.74,30.53,3.7,Normal
595,86.21,38.31,4.14,Normal
596,96.38,76.85,4.16,Normal
597,84.06,79.56,4.38,Normal
598,100.45,71.06,5.18,Normal
599,91.04,71.04,4.53,Normal
600,95.21,8.37,5.29,Normal
601,103.46,45.24,4.17,Precaución
602,116.29,44.11,6.76,Normal
603,113.75,11.2,4.69,Normal
604,103.57,16.32,3.0,Normal
605,96.17,39.66,3.55,Normal
606,89.94,73.9,4.61,Normal
607,92.87,6.44,6.92,Normal
608,111.29,26.68,4.36,Normal
609,107.44,67.31,4.42,Precaución
610,95.17,12.78,5.57,Normal
611,109.57,16.44,4.15,Normal
612,105.26,78.97,4.16,Precaución
613,110.77,9.82,6.07,Normal
614,95.93,28.78,5.27,Normal
615,96.01,31.79,4.38,Normal
616,105.64,12.92,4.92,Crítico
617,104.44,13.5,7.7,Normal
618,83.77,8.92,5.33,Normal
619,91.98,36.99,5.83,Crítico
620,104.53,32.54,6.57,Normal
621,110.13,59.15,4.89,Precaución
622,111.35,58.01,5.69,Normal
623,84.98,67.21,3.73,Precaución
624,100.41,66.71,3.13,Normal
625,106.69,50.93,5.85,Precaución
626,103.73,59.77,6.5,Crítico
627,105.77,5.34,4.46,Crítico
628,92.9,48.59,6.87,Normal
629,100.52,51.79,6.12,Normal
630,104.12,8.94,5.52,Normal
631,114.11,5.43,4.2,Normal
632,110.95,40.94,4.4,Precaución
633,106.55,57.83,4.08,Normal
634,97.07,58.84,5.53,Normal
635,101.99,7.3,5.64,Crítico
636,116.28,51.63,5.25,Normal
637,106.8,73.19,6.08,Normal
638,98.09,15.08,5.19,Normal
639,97.42,31.74,4.66,Normal
640,95.96,72.01,5.12,Precaución
641,116.73,59.66,4.26,Precaución
642,94.43,25.32,5.12,Precaución
643,98.46,43.26,3.89,Normal
644,80.13,66.3,3.04,Precaución
645,110.43,58.04,4.69,Normal
646,117.15,35.88,6.08,Normal
647,92.55,49.86,4.48,Normal
648,108.71,73.37,5.85,Normal
649,98.32,35.05,6.23,Normal
650,109.59,30.54,4.46,Precaución
651,101.51,60.7,2.71,Normal
652,97.52,35.62,6.75,Normal
653,109.83,44.52,4.71,Normal
654,103.24,22.13,4.24,Normal
655,98.23,43.22,6.37,Normal
656,121.98,47.41,4.17,Crítico
657,80.44,20.71,5.89,Normal
658,86.18,22.72,6.79,Normal
659,92.36,5.28,7.31,Normal
660,101.45,56.06,5.23,Crítico
661,102.59,66.76,8.36,Precaución
662,108.66,65.08,3.75,Normal
663,107.48,28.62,6.91,Normal
664,110.73,18.47,7.5,Normal
665,113.06,34.4,5.44,Normal
666,96.83,20.6,4.37,Normal
667,103.05,71.68,2.96,Normal
668,93.41,64.96,5.7,Normal
669,106.5,5.4,4.09,Normal
670,96.0,75.79,6.67,Normal
671,98.83,62.83,3.57,Normal
672,100.81,47.42,2.89,Precaución
673,115.41,45.25,5.03,Normal
674,84.91,54.59,3.85,Normal
675,102.76,55.78,4.51,Normal
676,93.07,54.43,7.48,Normal
677,85.53,61.42,4.09,Normal
678,116.47,65.85,4.07,Normal
679,95.86,79.32,3.9,Normal
680,99.52,75.52,3.3,Normal
681,105.4,59.71,5.97,Normal
682,89.88,78.39,4.75,Normal
683,102.94,58.77,6.35,Normal
684,110.14,32.78,6.38,Normal
685,120.16,63.98,4.8,Normal
686,95.05,66.89,4.27,Normal
687,91.01,68.35,6.92,Normal
688,106.6,23.72,5.64,Crítico
689,90.06,31.47,6.23,Normal
690,110.92,79.62,4.4,Normal
691,113.15,28.23,7.16,Normal
692,119.12,16.49,5.06,Crítico
693,92.01,26.31,6.59,Normal
694,107.08,31.96,7.38,Normal
695,112.1,74.33,3.32,Precaución
696,103.01,31.14,5.76,Normal
697,95.9,59.91,2.89,Normal
698,83.15,29.55,4.05,Normal
699,82.35,42.99,4.36,Precaución
700,106.71,29.14,6.82,Precaución
701,96.31,43.08,4.05,Normal
702,104.64,27.35,4.86,Precaución
703,97.89,75.25,5.0,Precaución
704,123.16,20.72,5.2,Normal
705,106.97,48.71,5.53,Normal
706,83.49,52.59,6.12,Normal
707,102.97,65.91,5.04,Precaución
708,115.18,79.7,3.29,Normal
709,102.43,16.31,4.14,Normal
710,99.11,49.1,4.14,Normal
711,88.76,75.28,3.27,Normal
712,100.46,23.0,5.83,Normal
713,115.47,54.59,6.06,Normal
714,120.39,42.1,4.82,Precaución
715,81.96,20.9,5.24,Normal
716,89.72,56.6,7.07,Normal
717,104.91,8.35,5.4,Normal
718,97.3,59.05,5.75,Normal
719,124.21,29.44,6.42,Precaución
720,84.97,52.68,3.0,Normal
721,101.55,34.42,4.98,Normal
722,110.5,14.47,5.4,Precaución
723,106.55,55.98,5.9,Precaución
724,98.22,34.0,6.61,Normal
725,108.98,43.1,5.27,Normal
726,89.71,45.31,5.94,Precaución
727,99.73,45.57,4.87,Normal
728,101.82,18.91,6.72,Precaución
729,106.45,74.6,3.99,Crítico
730,106.43,16.7,4.62,Precaución
731,107.68,36.78,3.66,Normal
732,96.63,16.48,5.76,Normal
733,97.96,22.8,3.28,Normal
734,111.97,11.55,3.68,Precaución
735,103.94,57.6,4.34,Normal
736,101.09,79.53,4.69,Normal
737,96.29,39.13,4.13,Normal
738,121.69,38.52,4.69,Normal
739,106.31,74.49,4.59,Normal
740,112.67,56.13,6.33,Normal
741,85.46,20.1,5.76,Precaución
742,105.35,67.28,5.58,Precaución
743,103.22,26.71,4.73,Normal
744,110.53,24.09,3.78,Precaución
745,103.77,79.65,5.48,Normal
746,95.52,18.8,5.36,Normal
747,76.49,49.89,5.61,Precaución
748,105.81,39.17,4.54,Normal
749,99.86,71.87,6.32,Precaución
750,104.83,68.68,3.84,Normal
751,90.55,79.29,4.2,Crítico
752,102.06,72.73,5.76,Crítico
753,90.39,26.91,5.62,Normal
754,102.5,69.64,6.11,Normal
755,106.58,34.5,5.02,Normal
756,95.26,39.24,4.12,Normal
757,93.88,17.97,6.92,Crítico
758,93.34,22.28,3.95,Precaución
759,81.18,23.04,6.58,Normal
760,99.05,20.72,5.91,Normal
761,111.3,30.64,4.2,Crítico
762,95.06,58.73,5.9,Normal
